Group,Order,Family,Genus,Orignal_Name,Accepted_Name,Seed_Dispersal_Category,Seed_Dispersal_Orignal_Discription,Seed_Dispersal_Data_Source
ANA,Austrobaileyales,Schisandraceae,Illicium,Illicium floridanum,Illicium floridanum,Zoochory,animal,"Cold Tolerance, Seed Size and Height of North American Forest Tree Species"
ANA,Austrobaileyales,Schisandraceae,Illicium,Illicium jiadifengpi,Illicium jiadifengpi,Autochory,Autochory,Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China
ANA,Austrobaileyales,Schisandraceae,Illicium,Illicium lanceolatum,Illicium lanceolatum,Autochory,Autochory,Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China
ANA,Austrobaileyales,Schisandraceae,Illicium,Illicium macranthum,Illicium macranthum,Autochory,Autochory,Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China
ANA,Austrobaileyales,Schisandraceae,Illicium,Illicium parviflorum,Illicium parviflorum,Zoochory,animal,"Cold Tolerance, Seed Size and Height of North American Forest Tree Species"
ANA,Austrobaileyales,Schisandraceae,Illicium,Illicium simonsii,Illicium simonsii,Autochory,Autochory,Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China
ANA,Austrobaileyales,Schisandraceae,Kadsura,Kadsura coccinea,Kadsura coccinea,Autochory,Autochory,Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China
ANA,Austrobaileyales,Schisandraceae,Kadsura,Kadsura longipedunculata,Kadsura longepedunculata,Zoochory,Zoochory,Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China
ANA,Austrobaileyales,Schisandraceae,Schisandra,Schisandra chinensis,Schisandra chinensis,Zoochory,Zoochory,Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China
ANA,Austrobaileyales,Schisandraceae,Schisandra,Schisandra henryi,Schisandra henryi,Zoochory,Zoochory,Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China
