paperid,GPI_name,inv_ctry,explicit_invdef,explicit_invdefdesc,implicit_invdef,implicit_invdefdesc,locdata,locdata_type,finding
AARS1981,hypochoeris radicata,NA,N,NA,NA,NA,N,NA,"this weed is naturalized in canada on both the west and east coasts but is common only on vancouver island, the eueen charlotte islands, and the adjacent mainland of british columbia. it is adapted to a wide range of habitats such as lawns, fields and along roadsides."
ABBA2012,spartina densiflora,Spain,N,NA,NA,NA,Y,COORDS,"this study showed the ability of the invasive cordgrass s. densiflora to germinate and establish in permanent flooding conditions as deep as at 4 cm, in accordance with field observations in invaded shallow waterlogged areas in the southwest iberian peninsula, where s. densiflora germinates and establishes during winter and spring."
ABBA2020,malva parviflora,Egypt,N,NA,NA,NA,Y,COORDS,"in view of our results, goat grazing can be applied as a useful method to control s. halepense and m. parviflora invasions. goats should be kept in corrals for at least 4 days after grazing to prevent transferring viable seeds to uninfected areas."
ABBA2020,sorghum halepense,Egypt,N,NA,NA,NA,Y,COORDS,"in view of our results, goat grazing can be applied as a useful method to control s. halepense and m. parviflora invasions. goats should be kept in corrals for at least 4 days after grazing to prevent transferring viable seeds to uninfected areas."
ABBO2006,peganum harmala,United States of America,Y,dominates the areas it is introduced and is toxic to livestock,NA,NA,N,NA,"african rue grass can tolerate extreme conditions (lack of water, and herbicide application) much better than a lot of plant speices. however, production from more stressed african rue populations was less. a management strategy could be to attack these plants with herbicides in a period of drought as the applied herbicides were more effective with a longer drought period. "
ABBO2007,peganum harmala,United States of America,Y,produces allelopathic chemicals in the soil and is toxic when eaten by livestock,NA,NA,Y,COORDS,"p. harmala shoot growth is from march to june, and senesced in june and july. only fruit maturation was related to calendar date and temperature. regrowth can be triggered by precipitation midsummer therefore acting as a drought evader"
ABBO2008,peganum harmala,United States of America,N,NA,NA,NA,N,NA,the success of african rue in arid environments is due in part to the ability of seedlings to tolerate and recover from water deficit.
ABE2011,casuarina equisetifolia,Japan,N,NA,NA,NA,Y,BOTH,"our surveys indicate that vegetation cover by the alien tree, casuarina equisetifolia has expanded compared with its distribution in a 1974 aerial photograph of theisland. to restore thenative ecosystem on nishi-jima, eradication of c. equisetifolia is important in addition to eradication of alien herbivorous mammals."
ABEL2011A,cirsium arvense,United States of America,Y,"plant invasion is an important problem for natural and agronomic systems, and a major threat to biodiversity. ",NA,NA,Y,COORDS,c. arvense from invasive range grew faster than c. arvense from native range and the differences are genetic.
ABEL2011B,bromus rubens,United States of America,N,NA,NA,NA,Y,COORDS,"interactions between native species and bromus rubens differ substantially depending on species, with some species interactions increasing cover of b. rubens and others reducing b. rubens cover. interactions not linked to biomass. potential to identify native species that can reduce invasion of desert ecosystems."
