accepted_name,acc_name_rank,acc_name_source,acc_name_url,GPI_name,invdefdesc,usdaacceptedsymbol
Abelmoschus moschatus,species,COL,https://www.catalogueoflife.org/data/search?extinct=false&facet=rank&facet=issue&facet=status&facet=nomStatus&facet=nameType&facet=field&fuzzy=true&limit=50&offset=0&q=Abelmoschus%20moschatus&sortBy=taxonomic&type=EXACT,abelmoschus moschatus,Invasive undefined,ABMO
Abies alba,species,COL,https://www.catalogueoflife.org/data/search?extinct=false&facet=rank&facet=issue&facet=status&facet=nomStatus&facet=nameType&facet=field&fuzzy=true&limit=50&offset=0&q=Abies%20alba&sortBy=taxonomic&type=EXACT,abies alba,Invasive explicitly defined,ABAL3
Abies amabilis,species,COL,https://www.catalogueoflife.org/data/search?extinct=false&facet=rank&facet=issue&facet=status&facet=nomStatus&facet=nameType&facet=field&fuzzy=true&limit=50&offset=0&q=Abies%20amabilis&sortBy=taxonomic&type=EXACT,abies amabilis,Invasive undefined,ABAM
Abies grandis,species,COL,https://www.catalogueoflife.org/data/taxon/8KCY,abies grandis,Invasive undefined,ABGR
Abies nordmanniana,species,COL,https://www.catalogueoflife.org/data/taxon/63Z83,abies nordmanniana,Invasive explicitly defined,NA
Abies procera,species,COL,https://www.catalogueoflife.org/data/taxon/8KFP,abies procera,Invasive explicitly defined,ABPR
Abies sachalinensis,species,COL,https://www.catalogueoflife.org/data/taxon/8KFW,abies sachalinensis,Invasive undefined,NA
Abrus precatorius,species,COL,https://www.catalogueoflife.org/data/taxon/8MGH,abrus precatorius,Invasive explicitly defined,ABPR3
Abutilon hirtum,species,COL,https://www.catalogueoflife.org/data/taxon/8N4S,abutilon hirtum,Invasive explicitly defined,ABHI
Abutilon indicum,species,COL,https://www.catalogueoflife.org/data/taxon/8N57,abutilon indicum,Invasive explicitly defined,ABIN3
Abutilon theophrasti,species,COL,https://www.catalogueoflife.org/data/taxon/8NCQ,abutilon theophrasti,Invasive explicitly defined,ABTH
Acacia adunca,species,COL,https://www.catalogueoflife.org/data/taxon/8NQT,acacia adunca,Invasive explicitly defined,ACAD
Acacia ampliceps,species,COL,https://www.catalogueoflife.org/data/taxon/8NRQ,acacia ampliceps,Invasive undefined,ACAM9
Acacia auriculiformis,species,COL,https://www.catalogueoflife.org/data/taxon/64C8B,acacia auriculiformis,Invasive explicitly defined,ACAU
Acacia auriculiformis,species,COL,https://www.catalogueoflife.org/data/taxon/64C8B,acacia auricaliformis,Invasive explicitly defined,ACAU
Acacia baileyana,species,COL,https://www.catalogueoflife.org/data/taxon/64C9J,acacia baileyana,Invasive explicitly defined,ACBA
Acacia confusa,species,COL,https://www.catalogueoflife.org/data/taxon/64C96,acacia confusa,Invasive explicitly defined,ACCO
Acacia crassicarpa,species,COL,https://www.catalogueoflife.org/data/taxon/8P39,acacia crassicarpa,Invasive undefined,NA
Acacia cyclops,species,COL,https://www.catalogueoflife.org/data/taxon/8P42,acacia cyclops,Invasive explicitly defined,ACCY2
Acacia dealbata,species,COL,https://www.catalogueoflife.org/data/taxon/8P4G,acacia dealbata,Invasive explicitly defined,ACDE3
Acacia dealbata,species,COL,https://www.catalogueoflife.org/data/taxon/8P4G,acacia dealbata link,Invasive explicitly defined,ACDE3
Acacia dealbata,species,COL,https://www.catalogueoflife.org/data/taxon/8P4G,acacia dealbata link fabaceae,Invasive explicitly defined,ACDE3
Acacia dealbata,species,COL,https://www.catalogueoflife.org/data/taxon/8P4G,racosperma dealbata,Invasive explicitly defined,ACDE3
Acacia decurrens,species,COL,https://www.catalogueoflife.org/data/taxon/8P4M,acacia decurrens,Invasive explicitly defined,ACDE
Acacia decurrens,species,COL,https://www.catalogueoflife.org/data/taxon/8P4M,acacia decurens,Invasive explicitly defined,ACDE
Acacia elata,species,COL,https://www.catalogueoflife.org/data/taxon/8P79,acacia elata,Invasive explicitly defined,ACEL
Acacia fimbriata,species,COL,https://www.catalogueoflife.org/data/taxon/8P96,acacia fimbriata,Invasive explicitly defined,ACFI4
Acacia holosericea,species,COL,https://www.catalogueoflife.org/data/taxon/8PDQ,acacia holosericea,Invasive undefined,ACHO2
