paperid,author,title,year,journal,volume,issue,pages,doi,WoS,type
AARS1981,"aarssen, lonnie w.",the biology of canadian weeds.: 50. hypochoeris radicata l.,1981,canadian journal of plant science,61,2,365–381,10.4141/cjps81-051,Y,article
ABBA2012,"abbas, a. m.; rubio-casal, a. e.; de cires, a.; figueroa, m. e.; lambert, a. m.; castillo, j. m.",effects of flooding on germination and establishment of the invasive cordgrass spartina densiflora,2012,weed research,52,3,269–276,10.1111/j.1365-3180.2012.00913.x,Y,article
ABBA2020,"abbas, am; al-kahtani, m; mousa, ma; badry, mo; hassaneen, asa; ezzat-ahmed, a; mancilla-leyton, jm; castillo, jm",endozoochory by goats of two invasive weeds with contrasted propagule traits,2020,sustainability,12,13,5450,10.3390/su12135450,Y,article
ABBO2006,"abbott, laurie b.; sterling, tracy m.",african rue (peganum harmala) seedling response to herbicides applied under water-deficit stress,2006,weed science,54,2,198–204,10.1614/ws-05-086r.1,Y,article
ABBO2007,"abbott, laurie b.; lepak, dominika; daniel, david l.",vegetative and reproductive phenology of african rue (peganum harmala) in the northern chihuahuan desert,2007,the southwestern naturalist,52,2,209–218,10.1894/0038-4909(2007)52[209:varpoa]2.0.co;2,Y,article
ABBO2008,"abbott, laurie b.; bettmann, gregory t.; sterling, tracy m.",physiology and recovery of african rue (peganum harmala) seedlings under water-deficit stress,2008,weed science,56,1,52–57,10.1614/ws-07-094.1,Y,article
ABE2011,"abe, tetsuto; yasui, takaya; makino, shun'ichi","vegetation status on nishi-jima island (ogasawara) before eradication of alien herbivore mammals: rapid expansion of an invasive alien tree, casuarina equisetifolia (casuarinaceae)",2011,journal of forest research,16,6,484–491,10.1007/s10310-010-0239-0,N,article
ABEL2011A,"abela-hofbauerová, inés; münzbergová, zuzana",increased performance of cirsium arvense from the invasive range,2011,"flora - morphology, distribution, functional ecology of plants",206,12,1012–1019,10.1016/j.flora.2011.07.007,Y,article
ABEL2011B,"abella, scott r.; craig, donovan j.; chiquoine, lindsay p.; prengaman, kathryn a.; schmid, sarah m.; embrey, teague m.",relationships of native desert plants with red brome (bromus rubens): toward identifying invasion-reducing species,2011,invasive plant science and management,4,1,115–124,10.1614/ipsm-d-10-00013.1,Y,article
ABEL2012A,"abella, scott r.; embrey, teague m.; schmid, sarah m.; prengaman, kathryn a.",biophysical correlates with the distribution of the invasive annual red brome (bromus rubens) on a mojave desert landscape,2012,invasive plant science and management,5,1,47–56,10.1614/ipsm-d-11-00030.1,Y,article
