"","genus","ResolvedName","csr_c","csr_r","usda_habit","usda_growth","usda_allelo","usda_lifespan","usda_nitro","usda_toxic","hyb_prop","hyb_ratio","gpi_inv_cong","gpi_inv_else","will_rangesize","will_preciprange","will_phrange"
"1","Abies","Abies concolor",NA,NA,"Tree","Slow","No","Long","None","None",0.362318841,0.041666667,TRUE,FALSE,3.61e+11,3978.389893,5.819999933
"2","Abies","Abies lasiocarpa var. lasiocarpa",NA,NA,NA,NA,NA,NA,NA,NA,0.362318841,0.041666667,TRUE,FALSE,NA,NA,NA
"3","Abies","Abies magnifica var. shastensis",NA,NA,NA,NA,NA,NA,NA,NA,0.362318841,0.041666667,TRUE,FALSE,NA,NA,NA
"4","Abronia","Abronia maritima",NA,NA,NA,NA,NA,NA,NA,NA,4.166666667,0.3125,FALSE,FALSE,43869173005,1219.170044,4.559999466
"5","Abronia","Abronia umbellata",NA,NA,NA,NA,NA,NA,NA,NA,4.166666667,0.3125,FALSE,FALSE,NA,NA,NA
"6","Abronia","Abronia villosa",NA,NA,NA,NA,NA,NA,NA,NA,4.166666667,0.3125,FALSE,FALSE,3.37e+11,1662,5.75999999
"7","Abutilon","Abutilon palmeri",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,88768694403,853.25,5.159999847
"8","Acalypha","Acalypha californica",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,36748741007,790.8599854,4.169999599
"9","Acer","Acer circinatum",NA,NA,"Tree, Shrub, Vine","Moderate","No","Long","None","None",0.185013876,0.042553191,TRUE,FALSE,NA,NA,NA
"10","Acer","Acer macrophyllum",NA,NA,"Tree","Rapid","No","Moderate","None","None",0.185013876,0.042553191,TRUE,FALSE,NA,NA,NA
"11","Acer","Acer negundo",50.3802345739496,26.3079482388856,"Tree","Rapid","No","Short","None","None",0.185013876,0.042553191,TRUE,TRUE,NA,NA,NA
"12","Achillea","Achillea millefolium",22.0177339375738,19.1772422149128,"Forb/herb","Moderate","No","Moderate","None","Slight",0.790960452,0.233333333,TRUE,TRUE,NA,NA,NA
"13","Achyrachaena","Achyrachaena mollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,2.76e+11,3981.739914,5.719999552
"14","Acmispon","Acmispon americanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"15","Acmispon","Acmispon glaber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"16","Acmispon","Acmispon strigosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,4.56e+11,2835.949951,5.859999895
"17","Actaea","Actaea rubra",NA,NA,NA,NA,NA,NA,NA,NA,16.66666667,0.25,FALSE,FALSE,NA,NA,NA
"18","Adelinia","Adelinia grandis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"19","Adenostoma","Adenostoma fasciculatum",NA,NA,"Shrub",NA,"Yes","Moderate","None","None",0,0,FALSE,FALSE,2.79e+11,3959.279892,5.719999552
"20","Adenostoma","Adenostoma sparsifolium",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,1.21e+11,1311.560043,4.559999466
"21","Adiantum","Adiantum aleuticum",NA,NA,NA,NA,NA,NA,NA,NA,0.526315789,0.05,TRUE,FALSE,NA,NA,NA
"22","Adiantum","Adiantum capillus-veneris",48.0008809775213,51.9991190224787,"Forb/herb","Moderate","No","Moderate","None","None",0.526315789,0.05,TRUE,FALSE,NA,NA,NA
"23","Adiantum","Adiantum jordanii",NA,NA,NA,NA,NA,NA,NA,NA,0.526315789,0.05,TRUE,FALSE,2.97e+11,4505.009766,5.719999552
"24","Adolphia","Adolphia californica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,10900649391,723.7700195,2.480000019
"25","Aesculus","Aesculus californica",NA,NA,"Tree, Shrub","Moderate","No","Long","None","Severe",0,0,FALSE,FALSE,2.43e+11,3929.989891,5.719999552
"26","Agastache","Agastache urticifolia",NA,NA,"Forb/herb, Subshrub","Rapid","No","Long","None","None",0,0,FALSE,FALSE,NA,NA,NA
"27","Agave","Agave deserti",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,2.03e+11,1134.089951,5.75999999
"28","Agave","Agave shawii",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,10900649391,723.7700195,2.480000019
"29","Agave","Agave utahensis",NA,NA,"Subshrub, Shrub, Forb/herb","Moderate","No","Moderate","None","None",0,0,TRUE,FALSE,2.62e+11,1282.420044,7.460000396
"30","Agoseris","Agoseris grandiflora",NA,NA,"Forb/herb","Moderate","No","Short","None","None",3.03030303,0.166666667,FALSE,FALSE,NA,NA,NA
"31","Agrostis","Agrostis exarata",NA,NA,"Graminoid","Moderate","No","Moderate","None","None",0.293040293,0.152380952,TRUE,FALSE,NA,NA,NA
"32","Agrostis","Agrostis pallens",NA,NA,"Graminoid","Moderate","No","Short","None","None",0.293040293,0.152380952,TRUE,FALSE,NA,NA,NA
"33","Agrostis","Agrostis scabra",NA,NA,"Graminoid","Moderate","No","Moderate","None","None",0.293040293,0.152380952,TRUE,FALSE,34936212905,2736.239944,4.020000458
"34","Allium","Allium amplectens",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"35","Allium","Allium bisceptrum",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,9.31e+11,2835.949951,7.460000396
"36","Allium","Allium falcifolium",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,1.3e+11,4305.149765,5.319999933
"37","Allium","Allium haematochiton",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,1.14e+11,1233.060043,4.559999466
