"","genus","ResolvedName","csr_c","csr_r","usda_habit","usda_growth","usda_allelo","usda_lifespan","usda_nitro","usda_toxic","hyb_prop","hyb_ratio","gpi_inv_cong","gpi_inv_else","will_rangesize","will_preciprange","will_phrange","reg_native","gir_nuisance","Seed_Dispersal_Category"
"1","Abies","Abies concolor",NA,NA,"Tree","Slow","No","Long","None","None",0.362318841,0.041666667,TRUE,FALSE,3.61e+11,3978.389893,5.819999933,FALSE,FALSE,NA
"2","Abies","Abies lasiocarpa var. lasiocarpa",NA,NA,NA,NA,NA,NA,NA,NA,0.362318841,0.041666667,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"3","Abies","Abies magnifica var. shastensis",NA,NA,NA,NA,NA,NA,NA,NA,0.362318841,0.041666667,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"4","Abronia","Abronia maritima",NA,NA,NA,NA,NA,NA,NA,NA,4.166666667,0.3125,FALSE,FALSE,43869173005,1219.170044,4.559999466,FALSE,FALSE,NA
"5","Abronia","Abronia umbellata",NA,NA,NA,NA,NA,NA,NA,NA,4.166666667,0.3125,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"6","Abronia","Abronia villosa",NA,NA,NA,NA,NA,NA,NA,NA,4.166666667,0.3125,FALSE,FALSE,3.37e+11,1662,5.75999999,FALSE,FALSE,NA
"7","Abutilon","Abutilon palmeri",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,88768694403,853.25,5.159999847,FALSE,FALSE,NA
"8","Acalypha","Acalypha californica",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,36748741007,790.8599854,4.169999599,FALSE,FALSE,NA
"9","Acer","Acer circinatum",NA,NA,"Tree, Shrub, Vine","Moderate","No","Long","None","None",0.185013876,0.042553191,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,"Anemochory"
"10","Acer","Acer macrophyllum",NA,NA,"Tree","Rapid","No","Moderate","None","None",0.185013876,0.042553191,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,"Anemochory"
"11","Acer","Acer negundo",50.3802345739496,26.3079482388856,"Tree","Rapid","No","Short","None","None",0.185013876,0.042553191,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,"Anemochory"
"12","Achillea","Achillea millefolium",22.0177339375738,19.1772422149128,"Forb/herb","Moderate","No","Moderate","None","Slight",0.790960452,0.233333333,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Autochory"
"13","Achyrachaena","Achyrachaena mollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,2.76e+11,3981.739914,5.719999552,FALSE,FALSE,NA
"14","Acmispon","Acmispon americanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"15","Acmispon","Acmispon glaber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"16","Acmispon","Acmispon strigosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,4.56e+11,2835.949951,5.859999895,FALSE,FALSE,"Autochory"
"17","Actaea","Actaea rubra",NA,NA,NA,NA,NA,NA,NA,NA,16.66666667,0.25,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,"Zoochory"
"18","Adelinia","Adelinia grandis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"19","Adenostoma","Adenostoma fasciculatum",NA,NA,"Shrub",NA,"Yes","Moderate","None","None",0,0,FALSE,FALSE,2.79e+11,3959.279892,5.719999552,FALSE,TRUE,"Autochory"
"20","Adenostoma","Adenostoma sparsifolium",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,1.21e+11,1311.560043,4.559999466,FALSE,FALSE,NA
"21","Adiantum","Adiantum aleuticum",NA,NA,NA,NA,NA,NA,NA,NA,0.526315789,0.05,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"22","Adiantum","Adiantum capillus-veneris",48.0008809775213,51.9991190224787,"Forb/herb","Moderate","No","Moderate","None","None",0.526315789,0.05,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"23","Adiantum","Adiantum jordanii",NA,NA,NA,NA,NA,NA,NA,NA,0.526315789,0.05,TRUE,FALSE,2.97e+11,4505.009766,5.719999552,FALSE,FALSE,NA
"24","Adolphia","Adolphia californica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,10900649391,723.7700195,2.480000019,FALSE,FALSE,NA
"25","Aesculus","Aesculus californica",NA,NA,"Tree, Shrub","Moderate","No","Long","None","Severe",0,0,FALSE,FALSE,2.43e+11,3929.989891,5.719999552,FALSE,FALSE,"Autochory"
"26","Agastache","Agastache urticifolia",NA,NA,"Forb/herb, Subshrub","Rapid","No","Long","None","None",0,0,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"27","Agave","Agave deserti",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,2.03e+11,1134.089951,5.75999999,FALSE,FALSE,NA
"28","Agave","Agave shawii",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,10900649391,723.7700195,2.480000019,FALSE,FALSE,NA
"29","Agave","Agave utahensis",NA,NA,"Subshrub, Shrub, Forb/herb","Moderate","No","Moderate","None","None",0,0,TRUE,FALSE,2.62e+11,1282.420044,7.460000396,FALSE,FALSE,NA
"30","Agoseris","Agoseris grandiflora",NA,NA,"Forb/herb","Moderate","No","Short","None","None",3.03030303,0.166666667,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"31","Agrostis","Agrostis exarata",NA,NA,"Graminoid","Moderate","No","Moderate","None","None",0.293040293,0.152380952,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"32","Agrostis","Agrostis pallens",NA,NA,"Graminoid","Moderate","No","Short","None","None",0.293040293,0.152380952,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"33","Agrostis","Agrostis scabra",NA,NA,"Graminoid","Moderate","No","Moderate","None","None",0.293040293,0.152380952,TRUE,FALSE,34936212905,2736.239944,4.020000458,FALSE,FALSE,"Anemochory"
"34","Allium","Allium amplectens",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"35","Allium","Allium bisceptrum",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,9.31e+11,2835.949951,7.460000396,FALSE,FALSE,NA
"36","Allium","Allium falcifolium",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,1.3e+11,4305.149765,5.319999933,FALSE,FALSE,NA
"37","Allium","Allium haematochiton",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,1.14e+11,1233.060043,4.559999466,FALSE,FALSE,NA
"38","Allium","Allium hyalinum",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,87365516608,1666.510033,5.719999552,FALSE,FALSE,NA
"39","Allium","Allium praecox",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,1.01e+11,1134.089951,4.559999466,FALSE,FALSE,"Autochory"
"40","Allium","Allium unifolium",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,65316202481,3888.730042,5.269999743,FALSE,FALSE,NA
"41","Alnus","Alnus incana",40.1214095803772,24.5757383683875,"Tree, Shrub","Rapid","No","Short","Medium","None",0.865800866,0.090909091,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Anemochory"
"42","Alnus","Alnus incana subsp. tenuifolia",NA,NA,"Shrub, Tree","Rapid","No","Moderate","Medium","None",0.865800866,0.090909091,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"43","Alnus","Alnus rhombifolia",NA,NA,"Tree","Rapid","No","Long","Low","None",0.865800866,0.090909091,TRUE,FALSE,6e+11,4606.559921,5.819999933,FALSE,FALSE,"Anemochory"
"44","Alnus","Alnus rubra",NA,NA,"Tree","Rapid","No","Short","High","None",0.865800866,0.090909091,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Anemochory"
"45","Ambrosia","Ambrosia chamissonis",NA,NA,NA,NA,NA,NA,NA,NA,0.158562368,0.034090909,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"46","Ambrosia","Ambrosia chamissonis",NA,NA,NA,NA,NA,NA,NA,NA,50,0.25,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"47","Ambrosia","Ambrosia chenopodiifolia",NA,NA,NA,NA,NA,NA,NA,NA,0.158562368,0.034090909,TRUE,FALSE,10900649391,723.7700195,2.480000019,FALSE,FALSE,NA
"48","Ambrosia","Ambrosia chenopodiifolia",NA,NA,NA,NA,NA,NA,NA,NA,50,0.25,TRUE,FALSE,10900649391,723.7700195,2.480000019,FALSE,FALSE,NA
