State,Raw.Scientific.Name,Clean.Scientific.Name,Reg.Level,Accepted.Symbol,Native.Status
AK,Agropyron repens,Agropyron repens,Noxious Weeds,ELRE4,
AK,Centaurea repens,Centaurea repens,Noxious Weeds,ACRE3,
AK,Cirsium arvensis,Cirsium arvense,Noxious Weeds,CIAR4,L48(I)AK(I)CAN(I)GL(I)SPM(I)
AK,Convolvulus arvensis,Convolvulus arvensis,Noxious Weeds,COAR4,L48(I)HI(I)CAN(I)
AK,Egeria densa,Egeria densa,Aquatic Invasive Weeds,EGDE,L48(I)HI(I)PR(I)CAN(W)
AK,Elodea canadensis,Elodea canadensis,Aquatic Invasive Weeds,ELCA7,L48(N)AK(I)PR(I)CAN(N)
AK,Elodea nuttallii,Elodea nuttallii,Aquatic Invasive Weeds,ELNU2,L48(N)CAN(N)
AK,Euphorbia esula,Euphorbia esula,Noxious Weeds,EUES,L48(I)CAN(I)
AK,Galensoga parviflora,Galinsoga parviflora,Noxious Weeds,GAPA2,L48(I)HI(I)PR(I)CAN(I)
AK,Galeopsis tetrahit,Galeopsis tetrahit,Noxious Weeds,GATE2,L48(I)AK(I)CAN(I)SPM(I)
AK,Hieracium aurantiacum,Hieracium aurantiacum,Noxious Weeds,HIAU,L48(I)AK(I)CAN(I)SPM(I)
AK,Hydrilla verticillata,Hydrilla verticillata,Aquatic Invasive Weeds,HYVE3,L48(I)
AK,Latuca puichella,Lactuca pulchella,Noxious Weeds,LATAP,
AK,Lepidium draba,Lepidium draba,Noxious Weeds,CADR,
AK,Lythrum salicaria,Lythrum salicaria,Noxious Weeds,LYSA2,L48(I)CAN(I)SPM(I)
AK,Myriophyllum spicatum,Myriophyllum spicatum,Aquatic Invasive Weeds,MYSP2,L48(I)AK(I)CAN(I)
AK,Rorippa austriaca,Rorippa austriaca,Noxious Weeds,ROAU,L48(I)CAN(I)
AK,Solanum carolinense,Solanum carolinense,Noxious Weeds,SOCA3,L48(N)CAN(I)
AK,Sonchus arvensis,Sonchus arvensis,Noxious Weeds,SOAR2,L48(I)AK(I)CAN(I)SPM(I)
AL,Alliaria petiolata,Alliaria petiolata,Class A Noxious Weeds,ALPE4,L48(I)AK(I)CAN(I)
AL,Althernanthera philoxeroides,Alternanthera philoxeroides,Class C Noxious Weeds,ALPH,L48(I)PR(I)
AL,Cardiospermum halicacabum,Cardiospermum halicacabum,Class C Noxious Weeds,CAHA13,L48(I)HI(I)PR(N)VI(N)
AL,Dioscorea bulbifera,Dioscorea bulbifera,Class A Noxious Weeds,DIBU,L48(I)HI(I)PR(I)
AL,Egeria densa,Egeria densa,Class C Noxious Weeds,EGDE,L48(I)HI(I)PR(I)CAN(W)
AL,Eichornia crassipes,Eichhornia crassipes,Class C Noxious Weeds,EICR,L48(I)HI(I)PR(I)VI(I)CAN(W)
AL,Fatoua villosa,Fatoua villosa,Class C Noxious Weeds,FAVI,L48(I)HI(I)PR(I)
AL,Lygodium japonicum,Lygodium japonicum,Class B Noxious Weeds,LYJA,L48(I)HI(I)PR(I)
AL,Lygodium microphyllum,Lygodium microphyllum,Class A Noxious Weeds,LYMI,L48(I)
AL,Lythrum salicaria,Lythrum salicaria,Class B Noxious Weeds,LYSA2,L48(I)CAN(I)SPM(I)
