"","Name_submitted","Accepted_name","Common.Name","Butterflies.and.Moths.Supported","Attracts.Wildlife","Plant.Type","Form","Height","Width","Growth.Rate","Seasonality","Flower.Color","Flowering.Season","Fragrance","Sun","Soil.Drainage","Water.Requirement","Summer.Irrigation","Ease.of.Care","Nursery.Availability","Companions","Special.Uses","Communities..simplified.","Communities","Hardiness","Sunset.Zones","Soil","Soil.Texture","Soil.pH","Soil.Toxicity","Mulch","Site.Type","Elevation..min.","Elevation..max.","Rainfall..min.","Rainfall..max.","Tips","Pests","Propagation","Height..min.","Height..max.","Width..min.","Width..max.","Other.Names","Alternative.Common.Names","Obsolete.Names","Rarity","Is.Cultivar","Jepson.Link","Plant.Url","QR.Codes..change.number.to.change.image.size.in.pixels."
"1","Abies amabilis","Abies amabilis","Pacific Silver Fir",28,"Bats, Butterflies, Caterpillars","Tree","Pyramidal","20 - 236 ft","20 - 50 ft","Slow","Evergreen","","Spring","Pleasant","Full Sun","","Moderate","Keep moist","","Never or Almost Never Available","<p>Douglas fir and California buckeye</p>","","","","","","Adaptable, tolerant of sand, loam and clay","","3 - 35","","","Temperate Rain Forests",0,11000,20.04,108.03,"<p>Plant in sandy, loamy or clay soils that are at least 36 inches deep, with a pH of 3.3-6. It is intolerant of anaerobic soils, intolerant of calcareous soils, and tolerant of infertile soils. It requires a minimum of 38 inches of water per year, and a maximum of 260 inches of water per year once established. It prefers sun or part shade, but is tolerant of full shade conditions.</p>","","",240,2832,240,600,"Fir, Pacific Silver","Cascade Fir,Lovely Fir,Red Fir,White Fir","","Rare","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abies+amabilis","https://calscape.org/Abies-amabilis-%28Pacific-Silver-Fir%29","https://calscape.org/storage/app/media/qr/Abies-amabilis-%28Pacific-Silver-Fir%29.png"
"2","Abies bracteata","Abies bracteata","Santa Lucia Fir",35,"Bats, Butterflies, Caterpillars","Tree","Pyramidal","66 - 180 ft","","","Evergreen","","","","Partial Shade","","Moderate","","","Never or Almost Never Available","","Deer resistant","","","","2, 3, 4, 5, 6, 7*, 8, 9, 14*, 15*, 16*, 17, 18*, 19*, 20*, 21*, 22, 23, 24","","","","","","Steep, rocky slopes",351,5254,11.5,92.81,"<p>Requires fast draining soil</p>","","For propagating by seed:  2-3 mos. stratification. Abies seed storage life is less than one year unless kept refrigerated.",792,2160,0,0,"Fir, Santa Lucia","Bristlecone Fir,Silver Fir","Abies bracteata","Rare","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abies+bracteata","https://calscape.org/Abies-bracteata-%28Santa-Lucia-Fir%29","https://calscape.org/storage/app/media/qr/Abies-bracteata-%28Santa-Lucia-Fir%29.png"
"3","Abies concolor","Abies concolor","Balsam Fir",62,"Bats, Birds, Butterflies, Caterpillars","Tree","Pyramidal","82 - 200 ft","","Slow","Evergreen","","","","Deep Shade, Full Sun, Partial Shade","Medium","Moderate","","Easy","Commonly Available","<p>Trees: Maple (Acer glabrum or macrophyllum), Incense Cedar (Calocedrus decurrens), Cherry (<a href=""/search/?plant=Prunus%20(Genus)"">Prunus spp.</a>), Oak (<a href=""/search/?plant=Quercus%20(Genus)"">Quercus spp.</a>), Jeffrey Pine (Pinus jeffreyi), and Bay Laurel (Umbellularia californica)</p><p><br></p><p>Shrubs: Manzanita (<a href=""/search/?plant=Arctostaphylos%20(Genus)"">Arctostaphylos spp.</a>), <a href=""/search/?plant=Ceanothus%20(Genus)"">Ceanothus spp.</a>, Dogwood (<a href=""/search/?plant=Cornus%20(Genus)"">Cornus spp.</a>), Flannelbush (<a href=""/search/?plant=Fremontodendron%20(Genus)"">Fremontodendron spp.</a>), Currant/Gooseberry (<a href=""/search/?plant=Ribes%20(Genus)"">Ribes spp.</a>), Sage (<a href=""/search/?plant=Salvia%20(Genus)"">Salvia spp.</a>), and Huckleberry (<a href=""/search/?plant=Vaccinium%20(Genus)"">Vaccinium spp.</a>)</p>","","Forest","Lodgepole Forest, Red Fir Forest, Yellow Pine Forest","Tolerates cold to 25° F","1, 2, 3, 4*, 5, 6*, 7, 10*, 14*, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Prefers rich, forest soil with well-decomposed organic component derived from decaying wood. For garden purposes add redwood compost to soil mix.","","5.0 - 7.1","","Deep Organic,Organic with Rocks","Montane forests",1671,10624,4.44,160.97,"<p>Plant in sandy or loamy soils that are at least 40 inches deep, with a pH of 5.5-7.8. It is intolerant of anaerobic soils, intolerant of calcareous soils, and requires only moderately fertile soils. Abies concolor is moderately drought tolerant. It requires a minimum of 18 inches of water per year, and a maximum of 80 inches of water per year once established. Requires fast draining soil. It. Prefers part shade, and is moderately tolerant of shade. Likes steep rocky slopes. This plant is not drought tolerant. It likes summer water every 1-4 weeks.</p>","","For propagating by seed:  1 mo. stratification. Abies seed storage life is less than one year unless kept refrigerated. Sow A. concolor in late fall as there will be less seedling loss to disease if the first growth",984,2400,0,0,"Fir, Balsam","White Fir","Abies concolor var. lowiana","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abies+concolor","https://calscape.org/Abies-concolor-%28Balsam-Fir%29","https://calscape.org/storage/app/media/qr/Abies-concolor-%28Balsam-Fir%29.png"
"4","Abies grandis","Abies grandis","Grand Fir",62,"Butterflies, Caterpillars","Tree","Pyramidal","25 - 240 ft","","Moderate","Evergreen","","Spring","","Deep Shade, Partial Shade","","Moderate","","Moderate","Rarely Available","","","Forest","Mixed Evergreen Forest, North Coastal Coniferous Forest","","2, 3, 4*, 5*, 6*, 7*, 14, 15*, 16*, 17*, 18, 19, 20, 21, 22, 23, 24","Prefers sandy or loamy soils.  Does not grow well in clay soils.","","","","","",0,5529,15.81,167.94,"<p>Plant in sandy or loamy soils that are at least 20 inches deep, with a pH of 4.5-7.5. It is intolerant of anaerobic soils, intolerant of calcareous soils, and requires only moderately fertile soils. Abies grandis is moderately drought tolerant. It requires a minimum of 11 inches of water per year, and a maximum of 100 inches of water per year once established. Requires fast draining soil. Prefers shade.</p>","","For propagating by seed:  1 mo. stratification; for small lots of seeds, scarification may give better results. No treatment can also give good results (USDA Forest Service 1974).",300,2880,0,0,"Fir, Grand","Giant Fir,Lowland White Fir,Great Silver Fir,Western White Fir,Vancouver Fir,Oregon Fir","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abies+grandis","https://calscape.org/Abies-grandis-%28Grand-Fir%29","https://calscape.org/storage/app/media/qr/Abies-grandis-%28Grand-Fir%29.png"
"5","Abies lasiocarpa","Abies lasiocarpa","Subalpine Fir",34,"Butterflies, Caterpillars","Tree","Pyramidal","15 - 98 ft","","Slow","Evergreen","","Spring","","Full Sun, Partial Shade","Medium","Moderate","","","Rarely Available","","","Forest, Wetland/Riparian","Lodgepole Forest, Red Fir Forest, Subalpine Forest, Wetland-Riparian","","","Prefers rich, forest soil with well-decomposed organic component derived from decaying wood. For garden purposes add redwood compost to soil mix.","","","","","Forests",4563,8600,21.22,108.03,"<p>Plant in sandy or loamy soils that are at least 40 inches deep, with a pH of 4-6.5. It is intolerant of anaerobic soils, intolerant of calcareous soils, and requires only moderately fertile soils. Abies lasiocarpa is only slightly drought tolerant. It requires a minimum of 20 inches of water per year, and a maximum of 150 inches of water per year once established. Requires moist soil. Prefers shade.</p>","","",180,1176,0,0,"Fir, Subalpine","","","Rare","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abies+lasiocarpa","https://calscape.org/Abies-lasiocarpa-%28Subalpine-Fir%29","https://calscape.org/storage/app/media/qr/Abies-lasiocarpa-%28Subalpine-Fir%29.png"
"6","Abies lasiocarpa var. lasiocarpa","Abies lasiocarpa var. lasiocarpa","Subalpine Fir",5,"Butterflies, Caterpillars","Tree","Pyramidal","98 ft","","","Evergreen","","","","","","Moderate","","","Commonly Available","","","","","","","","","","","","",NA,NA,24.56,108.03,"","","",1176,1176,0,0,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abies+lasiocarpa+var.+lasiocarpa","https://calscape.org/Abies-lasiocarpa-var.-lasiocarpa-%28Subalpine-Fir%29","https://calscape.org/storage/app/media/qr/Abies-lasiocarpa-var.-lasiocarpa-%28Subalpine-Fir%29.png"
"7","Abies magnifica","Abies magnifica","Balsam Fir",59,"Bats, Butterflies, Caterpillars","Tree","Upright, Pyramidal","35 - 220 ft","","Slow","Evergreen","","Spring","","Full Sun, Partial Shade","Medium","Moderate","","Moderate","Rarely Available","","","Forest","Red Fir Forest","","","Grows best on the deeper soils associated with glacial deposits and good surface mulch","","-","","","",1379,10842,4.79,160.97,"<p>Plant in sandy or loamy soils that are at least 20 inches deep, with a pH of 5-6.1. It is intolerant of anaerobic soils, intolerant of calcareous soils, and tolerant of infertile soils. Abies magnifica is only slightly drought tolerant. It requires a minimum of 33 inches of water per year, and a maximum of 64 inches of water per year once established. It is very tolerant of shade. Prefers sun or part shade.</p>","","For propagating by seed:  1-2 mos. stratification. Abies seed storage life is less than one year unless kept refrigerated.",420,2640,0,0,"Fir, Balsam","California Red Fir,Golden Fir,Shasta Fir,Shasta Red Fir,Silvertip Fir,Red Fir","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abies+magnifica","https://calscape.org/Abies-magnifica-%28Balsam-Fir%29","https://calscape.org/storage/app/media/qr/Abies-magnifica-%28Balsam-Fir%29.png"
"8","Abies magnifica var. magnifica","Abies magnifica var. magnifica","California Red Fir",47,"Butterflies, Caterpillars","Tree","Pyramidal","131 - 197 ft","","","Evergreen","","","","Full Sun, Partial Shade","","Moderate","","Moderate","Rarely Available","","","Forest","Pine Forest","","1*, 2, 3*, 4, 5, 6*, 7, 14, 15, 16","","","","","","",1031,4061,7.07,121.38,"<p>Prefers sun or part shade.</p>","","",1572,2364,0,0,"Fir, California Red","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abies+magnifica+var.+magnifica","https://calscape.org/Abies-magnifica-var.-magnifica-%28California-Red-Fir%29","https://calscape.org/storage/app/media/qr/Abies-magnifica-var.-magnifica-%28California-Red-Fir%29.png"
"9","Abies magnifica var. shastensis","Abies magnifica var. shastensis","Shasta Red Fir",48,"Butterflies, Caterpillars","Tree","Pyramidal","187 ft","","","Evergreen","","","","Full Sun, Partial Shade","","Moderate","","","Sometimes Available","","","","","","","","","","","","",NA,NA,6.32,117.21,"","","",2244,2244,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abies+magnifica+var.+shastensis","https://calscape.org/Abies-magnifica-var.-shastensis-%28Shasta-Red-Fir%29","https://calscape.org/storage/app/media/qr/Abies-magnifica-var.-shastensis-%28Shasta-Red-Fir%29.png"
"10","Abies procera","Abies procera","Noble Fir",12,"Butterflies, Caterpillars","Tree","Upright, Pyramidal","25 - 279 ft","","Fast","Evergreen","","Spring","","Deep Shade, Partial Shade","","Moderate","","Moderate","Rarely Available","","","Forest","Red Fir Forest","","1*, 2*, 3*, 4, 5, 6*, 7, 14, 15, 16, 17","Prefers sandy or loamy soils.  Does not grow well in clay soils.","","","","","",2663,7045,19.64,160.97,"<p>Plant in sandy or loamy soils that are at least 20 inches deep, with a pH of 6-7.5. It is intolerant of anaerobic soils, intolerant of calcareous soils, and tolerant of infertile soils. Abies procera is only slightly drought tolerant. It requires a minimum of 64 inches of water per year, and a maximum of 120 inches of water per year once established. Requires fast draining soil. It is moderately tolerant of shade.</p>","","For propagating by seed:  2 wks. stratification or, for small lots, scarification (USDA Forest Service 1974).",300,3348,0,0,"Fir, Noble","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Abies+procera","https://calscape.org/Abies-procera-%28Noble-Fir%29","https://calscape.org/storage/app/media/qr/Abies-procera-%28Noble-Fir%29.png"
