"","Name_submitted","Accepted_name","Family","Order","Superorder","Group (Dicot, Monocot, Gymnosperm, Fern)","Sample reference code","Life cycle habit (annual, biennial, perennial)","Plant growth habit (aquatic, forb, graminoid,  herbaceous vine, liana, shrub, tree)","Nearctic","Neotropic","Palearctic","Afrotropic","Indo-Malay","Australasia","Oceania","Number of Biogeographic Realms","Tropical and Subtropical Moist Broadleaf Forests","Tropical and Subtropical Dry Broadleaf Forests","Tropical and Subtropical Coniferous Forests","Temperate Broadleaf and Mixed Forests","Temperate Coniferous Forests","Boreal Forests/Taiga","Tropical and Subtropical Grasslands, Savannas, and Shrublands","Temperate Grasslands, Savannas, and Shrublands","Flooded Grasslands and Savannas","Montane Grasslands and Shrublands","Tundra","Mediterranean Forests, Woodlands, and Scrub","Deserts and Xeric Shrublands","Mangroves","Number of Biomes","C (%)","S (%)","R (%)","CSR","Colour values for SigmaPlot","Growth habit (grey shade)","Growth habit (colour)","Growth habit (symbol)"
"1","Abarema cochliocarpos (Gomes) Barneby & J.W. Grimes","Abarema cochliocarpos","Fabaceae","Fabales","Rosanae","Dicot","Pinho","perennial","tree",0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,22.8339263881207,61.3887427229836,15.7773308888956,"S/CSR","@rgb(58,157,40)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"2","Abarema macradenia (Pittier) Barneby & J.W. Grimes","Jupunba macradenia","Fabaceae","Fabales","Rosanae","Dicot","Wright","perennial","tree",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54.7589519180124,45.2410480819876,0,"CS","@rgb(140,115,0)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"3","Abuta racemosa (Thunb.) Triana & Planch.","Abuta racemosa","Menispermaceae","Ranunculales","Ranunculanae","Dicot","Wright","perennial","liana",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.5945470543439,63.1220993235161,7.28335362213998,"S/CS","@rgb(75,161,19)","@rgb(128,128,128)","@rgb(128,128,128)","@symbol(3,512,0)"
"4","Abutilon theophrasti Medik.","Abutilon theophrasti","Malvaceae","Malvales","Rosanae","Dicot","Cerabolini/Pierce","annual","forb",0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,4,66.5942835268611,14.0676981940679,19.338018279071,"C/CR","@rgb(170,36,49)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"5","Acalypha diversifolia Jacq.","Acalypha diversifolia","Euphorbiaceae","Malpighiales","Rosanae","Dicot","Wright","perennial","shrub",0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,6,43.5186207416452,35.9320792220485,20.5493000363063,"CS/CSR","@rgb(111,92,52)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
"6","Acalypha macrostachya Jacq.","Acalypha macrostachya","Euphorbiaceae","Malpighiales","Rosanae","Dicot","Wright","perennial","shrub",0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,6,67.9070286440951,11.3000660254073,20.7929053304976,"C/CR","@rgb(173,29,53)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
"7","Acalypha virginica L.","Acalypha virginica","Euphorbiaceae","Malpighiales","Rosanae","Dicot","Cerabolini/Pierce","annual","forb",1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4,28.015624598301,30.0827548819248,41.9016205197742,"CSR","@rgb(71,77,107)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"8","Acer campestre L.","Acer campestre","Sapindaceae","Sapindales","Rosanae","Dicot","Cerabolini/Pierce","perennial","tree",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4,42.2899616471499,29.4104181593143,28.2996201935358,"CSR","@rgb(108,75,72)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"9","Acer monspessulanum L.","Acer monspessulanum","Sapindaceae","Sapindales","Rosanae","Dicot","Díaz","perennial","tree",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,4,23.4860824679986,68.825891770323,7.68802576167846,"S/CS","@rgb(60,176,20)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"10","Acer negundo L.","Acer negundo","Sapindaceae","Sapindales","Rosanae","Dicot","Cerabolini/Pierce","perennial","tree",1,1,0,0,0,0,0,2,1,1,1,1,1,1,0,1,0,0,0,0,1,0,8,50.3802345739496,23.3118171871648,26.3079482388856,"C/CSR","@rgb(128,59,67)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
