"","Name_submitted","Accepted_name","paperid","inv_ctry","explicit_invdef","explicit_invdefdesc","implicit_invdef","implicit_invdefdesc","locdata","locdata_type","finding"
"1","hypochoeris radicata","Hypochaeris radicata","AARS1981",NA,"N",NA,NA,NA,"N",NA,"this weed is naturalized in canada on both the west and east coasts but is common only on vancouver island, the eueen charlotte islands, and the adjacent mainland of british columbia. it is adapted to a wide range of habitats such as lawns, fields and along roadsides."
"2","hypochoeris radicata","Hypochaeris radicata","NSIK2020","South Africa","N",NA,NA,NA,"N",NA,"practitioners should integrate the management of secondary invasion and/or weedy native species dominance with their overall invasive alien plant clearing efforts. relevant steps should be taken to include mechanisms and incentives of dealing with secondary invasion and/or weedy native species dominance in the policy on invasive alien plants in south africa."
"3","spartina densiflora","Sporobolus montevidensis","ABBA2012","Spain","N",NA,NA,NA,"Y","COORDS","this study showed the ability of the invasive cordgrass s. densiflora to germinate and establish in permanent flooding conditions as deep as at 4 cm, in accordance with field observations in invaded shallow waterlogged areas in the southwest iberian peninsula, where s. densiflora germinates and establishes during winter and spring."
"4","spartina densiflora","Sporobolus montevidensis","AUGY2014","United States of America","Y","it displaces native vascular plant species through competition.",NA,NA,"Y","MAP","our results suggest that the presence of s. densiflora lowers both algal biomass and functional group diversity in an invaded salt marsh, with implications for resulting trophic cascades."
"5","spartina densiflora","Sporobolus montevidensis","AYRE2004C","United States of America","Y","poses a threat to biodiversity",NA,NA,"Y","MAP","s. densiflora patches found in outer coast estuaries north of the bay which suggest the likelihood of sf bay populations to found others on the pacific coast."
"6","spartina densiflora","Sporobolus montevidensis","AYRE2008A","United States of America","N",NA,NA,NA,"Y","COORDS","found 32 f1 diploid hybrids and two triploid plants. none of these hybrids set germinable seed."
"7","spartina densiflora","Sporobolus montevidensis","CAMB2008","Spain","N",NA,NA,NA,"Y","MAP","s. densiflora showed a higher capability to retain metals around their roots and to control the uptake or transport of metals, mediated by a higher formation of plaques of fe/mn (hydro) oxides on the roots."
"8","spartina densiflora","Sporobolus montevidensis","CAST2005B","Spain","Y","invasive species displace native species.",NA,NA,"N",NA,"adaptative mechanisms, as those described previously, would allow this species to live in fresh water environments. "
"9","spartina densiflora","Sporobolus montevidensis","CAST2009A","Spain","Y","displacement of native species",NA,NA,"Y","COORDS","nonsuccessional stands of s. maritima develop at the channel banks where the marsh surface was stabilized. in contrast; successional stands of s. maritima grown in flat interior marshes are being replaced naturally by sarcocornia perennis"
"10","spartina densiflora","Sporobolus montevidensis","CAST2009C","Spain","N",NA,NA,NA,"Y","MAP","the life spans of both cordgrasses changed depending on small variations of a few centimeters in elevation. s. densiflora clumps flowered before dying at mostly all elevations, showing low relative growth rates."
"11","spartina densiflora","Sporobolus montevidensis","CAST2014D","Canada","Y","phenotypic acclimation of individual plants and genetic differentiation by natural selection within invasive populations are two potential mechanisms that may confer fitness advantages and allow plants to cope with environmental variation.",NA,NA,"Y","BOTH","spartina densiflora shows wide differences in its foliar traits in response to environmental heterogeneity in salt marshes, which appears to be the result of phenotypic plasticity rather than genetic differentiation."
"12","spartina densiflora","Sporobolus montevidensis","CAST2014D","United States of America","Y","phenotypic acclimation of individual plants and genetic differentiation by natural selection within invasive populations are two potential mechanisms that may confer fitness advantages and allow plants to cope with environmental variation.",NA,NA,"Y","BOTH","spartina densiflora shows wide differences in its foliar traits in response to environmental heterogeneity in salt marshes, which appears to be the result of phenotypic plasticity rather than genetic differentiation."
"13","spartina densiflora","Sporobolus montevidensis","CAST2016B","Canada","N",NA,NA,NA,"Y","COORDS","our results showed that s. densiflora is able to adjust to widely variable climate (specifically; air temperature and the duration of the growing season) and sediment conditions (specifically; texture and hypoxia) through phenotypical plastic key functional tussock traits (e.g. shoot density; height; above- and belowground biomass allocation patterns)."
