"","Name_submitted","Accepted_name","Family","Order","HybProp","Hyb_Ratio","perc_per","perc_wood","perc_ag","floral_symm","mating_system","repro_syndrome","pollination_syndrome","RedList","tavg","C_value","CV_C_value"
"1","Abies","Abies","Pinaceae","Pinophyta",0.362318841,0.041666667,"1","1",0.004761905,".","1","1","0","0.695652174","0.8674","17.23266667","9.085723529"
"2","Abronia","Abronia","Nyctaginaceae","Caryophyllales",4.166666667,0.3125,"0.6875","0",0.005063291,".",".",".",".",".",".",".","."
"3","Abutilon","Abutilon","Malvaceae","Malvales",0,0,"0.763157895","0.394736842",0.006153846,"0","1","1","1","3.5","0.057","1.245","0"
"4","Acacia","Acacia","Fabaceae","Fabales",0.208188758,0.136363636,"1","1",0.096494845,"0",".",".","1","1.5","0.807875","1.186321839","31.78010935"
"5","Acaena","Acaena","Rosaceae","Rosales",8.888888889,0.4,"1","0",0.001060071,".",".","0.5",".",".",".","0.33","."
"6","Acalypha","Acalypha","Euphorbiaceae","Malpighiales",0,0,"0","0",0.01239531,"0.2",".",".","0","2.772727273",".",".","."
"7","Acamptopappus","Acamptopappus","Asteraceae","Asterales",0,0,"1","1",0.00210989,".",".",".",".",".",".",".","."
"8","Acanthomintha","Acanthomintha","Lamiaceae","Lamiales",0,0,"0","0",0.004320557,".",".",".",".",".",".",".","."
"9","Acanthopanax","Eleutherococcus","Araliaceae","Apiales",0,0,"1","1",0,".",".",".",".",".",".",".","."
"10","Acanthospermum","Acanthospermum","Asteraceae","Asterales",0,0,"0","0",0.00210989,"0",".",".","1",".",".",".","."
"11","Acanthus","Acanthus","Acanthaceae","Lamiales",0,0,"1","0",0.000857143,"1",".",".",".",".",".",".","."
"12","Acer","Acer","Sapindaceae","Sapindales",0.185013876,0.042553191,"1","1",0.001265823,".","1","0.916666667","0.833333333","2.166666667","0.945","0.908181818","26.43476679"
"13","Achillea","Achillea","Asteraceae","Asterales",0.790960452,0.233333333,"1","0",0.00210989,"0","1","0.5","1",".",".","4.137692308","51.15042164"
