,Name_submitted,Accepted_name,Habit,NativeStatus,n_nurseries,StatesSold,NativeRange,StatesRegulated,P_conventional,P_native,Rank
1,Monarda fistulosa,Monarda fistulosa,Forb/herb,EFNative,89,"ME, MA, PA, MD, NH, RI, NJ, VA, CT, DE, NY, VT, OH","CO, ID, MT, OR, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, NM, TX, AL, AR, FL, GA, KY, LA, MD, MS, NC, TN, VA",NA,0.140625,0.638554217,1
2,Lobelia siphilitica,Lobelia siphilitica,Forb/herb,EFNative,106,"MA, MD, PA, NY, NH, RI, NJ, ME, VA, OH, CT, VT, DE, WV","CO, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.1953125,0.674698795,2
3,Eupatorium perfoliatum,Eupatorium perfoliatum,Forb/herb,EFNative,62,"ME, MA, PA, MD, NH, RI, OH, VA, CT, DE, VT, NJ","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0703125,0.530120482,3
4,Asclepias incarnata,Asclepias incarnata,Forb/herb,EFNative,129,"MA, MD, KY, PA, VT, OH, NY, NH, RI, CT, ME, NJ, VA, DE, WV","CO, ID, MT, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, NV, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, NC, SC, TN, VA",NA,0.2734375,0.710843373,4
5,Aquilegia canadensis,Aquilegia canadensis,Forb/herb,EFNative,102,"MA, NY, MD, NH, PA, RI, CT, ME, NJ, VA, VT, DE, WV, OH","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.1953125,0.626506024,5
6,Vernonia noveboracensis,Vernonia noveboracensis,Forb/herb,EFNative,81,"MA, MD, NH, NJ, PA, RI, VA, CT, ME, VT, NY, DE, OH, WV","CT, MA, NJ, NY, PA, RI, WV, AL, DE, FL, GA, MD, NC, SC, TN, VA",NA,0.13671875,0.554216867,6
7,Cephalanthus occidentalis,Cephalanthus occidentalis,Shrub,EFNative,123,"MA, OH, MD, KY, PA, NH, NJ, RI, NY, VA, CT, ME, DE, VT","IL, MN, MO, NE, OK, WI, CT, IN, ME, MA, NH, NJ, NY, PA, RI, VT, AZ, CA, UT, NM, TX, AL, AR, FL, GA, KY, LA, MD, NC, SC, TN, VA",NA,0.26171875,0.674698795,7
8,Zizia aurea,Zizia aurea,Forb/herb,EFNative,62,"MA, MD, NH, PA, RI, VA, CT, ME, DE, NJ, VT, NY, OH, WV","MT, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.08203125,0.493975904,8
9,Rudbeckia laciniata,Rudbeckia laciniata,Forb/herb,EFNative,71,"PA, MD, RI, MA, CT, VA, ME, DE, NY, NH, NJ, VT, OH","CO, MT, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NY, OH, PA, VT, WV, AZ, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, NC, SC, TN, VA",NA,0.109375,0.518072289,9
10,Lobelia cardinalis,Lobelia cardinalis,Forb/herb,EFNative,137,"DE, MA, MD, PA, NY, NH, RI, CT, ME, NJ, VA, OH, VT, WV","CO, IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, CA, NV, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.3046875,0.710843373,10
