"","Name_submitted","Accepted_name","State","Raw.Scientific.Name","Reg.Level","Accepted.Symbol","Native.Status"
"92","Elodea canadensis","Elodea canadensis","AK","Elodea canadensis","Aquatic Invasive Weeds","ELCA7","L48(N)AK(I)PR(I)CAN(N)"
"93","Elodea nuttallii","Elodea nuttallii","AK","Elodea nuttallii","Aquatic Invasive Weeds","ELNU2","L48(N)CAN(N)"
"239","Solanum carolinense","Solanum carolinense","AK","Solanum carolinense","Noxious Weeds","SOCA3","L48(N)CAN(I)"
"240","Solanum carolinense","Solanum carolinense","CA","Solanum carolinense","Noxious Weed","SOCA3","L48(N)CAN(I)"
"241","Solanum carolinense","Solanum carolinense","GA","Solanum carolinense","Restricted Noxious Weed Seed","SOCA3","L48(N)CAN(I)"
"242","Solanum carolinense","Solanum carolinense","HI","Solanum carolinense","Noxious Weeds","SOCA3","L48(N)CAN(I)"
"243","Solanum carolinense","Solanum carolinense","IN","Solanum carolinense","Restricted Noxious Weeds","SOCA3","L48(N)CAN(I)"
"244","Solanum carolinense","Solanum carolinense","MI","Solanum carolinense","Prohibited Noxious Weed Seed","SOCA3","L48(N)CAN(I)"
"245","Solanum carolinense","Solanum carolinense","MN","Solanum carolinense","Restricted Noxious Weed Seeds","SOCA3","L48(N)CAN(I)"
"246","Solanum carolinense","Solanum carolinense","NV","Solanum carolinense","Category B","SOCA3","L48(N)CAN(I)"
"247","Solanum carolinense","Solanum carolinense","SD","Solanum carolinense","Noxious Weed Seeds","SOCA3","L48(N)CAN(I)"
"381","Pistia stratiotes","Pistia stratiotes","AL","Pistia stratiotes","Class C Noxious Weeds","PIST2","L48(N)HI(I)PR(N)VI(N)"
"382","Pistia stratiotes","Pistia stratiotes","MS","Pistia stratiotes","Prohibited aquatic plant","PIST2","L48(N)HI(I)PR(N)VI(N)"
"383","Pistia stratiotes","Pistia stratiotes","OH","Pistia stratiotes","Prohibited","PIST2","L48(N)HI(I)PR(N)VI(N)"
"384","Pistia stratiotes","Pistia stratiotes","SC","Pistia stratiotes","Plant Pests","PIST2","L48(N)HI(I)PR(N)VI(N)"
"385","Pistia stratiotes","Pistia stratiotes","TX","Pistia stratiotes","Noxious Plants","PIST2","L48(N)HI(I)PR(N)VI(N)"
"386","Pistia stratiotes","Pistia stratiotes","WI","Pistia stratiotes","Prohibited","PIST2","L48(N)HI(I)PR(N)VI(N)"
"472","Panax quinquefolius","Panax quinquefolius","All","Panax quinquefolius","Regulated","PAQU","L48(N)CAN(N)"
"606","Cenchrus echinatus","Cenchrus echinatus","AZ","Cenchrus echinatus","Class A Noxious Weeds","CEEC","L48(N)HI(I)PR(N)VI(N)"
"607","Cenchrus echinatus","Cenchrus echinatus","CA","Cenchrus echinatus","B","CEEC","L48(N)HI(I)PR(N)VI(N)"
"608","Cenchrus spinifex","Cenchrus spinifex","AZ","Cenchrus spinifex","Class B Noxious Weeds","CESP4","L48(N)PR(N)VI(N)"
"609","Cenchrus spinifex","Cenchrus spinifex","CA","Cenchrus spinifex","B","CESP4","L48(N)PR(N)VI(N)"
"610","Cenchrus spinifex","Cenchrus spinifex","GA","Cenchrus spinifex","Restricted Noxious Weed Seed","CESP4","L48(N)PR(N)VI(N)"
"701","Ipomoea hederacea","Ipomoea hederacea","AZ","Ipomoea hederacea","Class C Noxious Weeds","IPNI","L48(N)PR(N)VI(N)"
"703","Ipomoea hederacea","Ipomoea hederacea","AZ","Ipomoea hederacea","Class C Noxious Weeds","IPNI","L48(N)PR(N)VI(N)"
"722","Ipomoea x leucantha","Ipomoea x leucantha","AZ","Ipomoea x leucantha","Class C Noxious Weeds","IPLE4","L48(N)HI(I?)"
"843","Ambrosia trifida","Ambrosia trifida","CA","Ambrosia trifida","B","AMTR","L48(N)CAN(N)"
"844","Ambrosia trifida","Ambrosia trifida","DE","Ambrosia trifida","Noxious Weeds","AMTR","L48(N)CAN(N)"
"845","Ambrosia trifida","Ambrosia trifida","IL","Ambrosia trifida","Noxious Weeds","AMTR","L48(N)CAN(N)"
"846","Ambrosia trifida","Ambrosia trifida","WI","Ambrosia trifida","Restricted Noxious Weed Seed","AMTR","L48(N)CAN(N)"
"852","Baccharis halimifolia","Baccharis halimifolia","CA","Baccharis halimifolia","A","BAHA","L48(N)"
"861","Boehmeria cylindrica","Boehmeria cylindrica","CA","Boehmeria cylindrica","C","BOCY","L48(N)PR(N)CAN(N)"
"887","Cabomba caroliniana","Cabomba caroliniana","CA","Cabomba caroliniana","Noxious Weed","CACA","L48(N)CAN(N)"
"888","Cabomba caroliniana","Cabomba caroliniana","CT","Cabomba caroliniana","Noxious Weeds","CACA","L48(N)CAN(N)"
"889","Cabomba caroliniana","Cabomba caroliniana","ID","Cobomba caroliniana","EARLY DETECTION/RAPID RESPONSE","CACA","L48(N)CAN(N)"
"890","Cabomba caroliniana","Cabomba caroliniana","MA","Cabomba caroliniana","Noxious weed","CACA","L48(N)CAN(N)"
"891","Cabomba caroliniana","Cabomba caroliniana","ME","Cabomba caroliniana","Aquatic noxious weed","CACA","L48(N)CAN(N)"
"892","Cabomba caroliniana","Cabomba caroliniana","MI","Cabomba caroliniana","Prohibited","CACA","L48(N)CAN(N)"
"893","Cabomba caroliniana","Cabomba caroliniana","NH","Cabomba caroliniana","Noxious Weed","CACA","L48(N)CAN(N)"
"894","Cabomba caroliniana","Cabomba caroliniana","NY","Cabomba caroliniana","Prohibited Plants","CACA","L48(N)CAN(N)"
"895","Cabomba caroliniana","Cabomba caroliniana","VT","Cabomba caroliniana","Class A Noxious Weed","CACA","L48(N)CAN(N)"
"896","Cabomba caroliniana","Cabomba caroliniana","WA","Cabomba caroliniana","Class B","CACA","L48(N)CAN(N)"
"897","Cabomba caroliniana","Cabomba caroliniana","WI","Cabomba caroliniana","Prohibited","CACA","L48(N)CAN(N)"
"918","Cenchrus incertus","Cenchrus spinifex","WY","Cenchrus incertus M. A. Curtis","Prohibited Noxious Weed","CESP4","L48(N)PR(N)VI(N)"
"919","Cenchrus longispinus","Cenchrus longispinus","CA","Cenchrus longispinus","B","CELO3","L48(N)CAN(N)"
"920","Cenchrus longispinus","Cenchrus longispinus","WA","Cenchrus longispinus","Class C","CELO3","L48(N)CAN(N)"
"921","Cenchrus longispinus","Cenchrus longispinus","WY","Cenchrus longispinus (Hack.) Fernald","Prohibited Noxious Weed","CELO3","L48(N)CAN(N)"
"966","Cirsium ochrocentrum","Cirsium ochrocentrum","CA","Cirsium ochrocentrum","C","CIOC2","L48(N)"
"967","Cirsium undulatum","Cirsium undulatum","CA","Cirsium undulatum","Noxious Weed","CIUN","CAN(N)L48(N)"
"1030","Diodia virginiana","Diodia virginiana","CA","Diodia virginiana","C","DIVI3","L48(N)"
"1033","Drymaria cordata","Drymaria cordata","CA","Drymaria cordata","C","DRCO2","L48(N)HI(I)PR(N)VI(N)"
"1048","Euphorbia cyathophora","Euphorbia cyathophora","CA","Euphorbia cyathophora","C","EUCY","L48(N)HI(I)PR(N)VI(N)"
"1086","Helianthus ciliaris","Helianthus ciliaris","CA","Helianthus ciliaris","Noxious Weed","HECI","L48(N)"
"1087","Helianthus ciliaris","Helianthus ciliaris","GA","Helianthus ciliaris","Restricted Noxious Weed Seed","HECI","L48(N)"
"1088","Helianthus ciliaris","Helianthus ciliaris","SC","Helianthus ciliaris","Plant Pests","HECI","L48(N)"
"1089","Helianthus ciliaris","Helianthus ciliaris","WA","Helianthus ciliaris","Class A","HECI","L48(N)"
"1108","Heteranthera reniformis","Heteranthera reniformis","CA","Heteranthera reniformis","A","HERE","L48(N)PR(N)"
"1109","Heteropogon contortus","Heteropogon contortus","CA","Heteropogon contortus","Noxious Weed","HECO10","L48(N)HI(N)PR(N)VI(N)"
"1220","Limnobium spongia","Hydrocharis spongia","CA","Limnobium spongia","Noxious Weed","LISP2","L48(N)"
"1232","Ludwigia decurrens","Ludwigia decurrens","CA","Ludwigia decurrens","A","LUDE4","L48(N)PR(N)"
"1250","Muhlenbergia schreberi","Muhlenbergia schreberi","CA","Muhlenbergia schreberi","Noxious Weed","MUSC","L48(N)CAN(N)"
"1256","Nymphaea mexicana","Nymphaea mexicana","CA","Nymphaea mexicana","C","NYME","L48(N)CAN(I)"
"1274","Oenothera sinuosa","Oenothera sinuosa","CA","Oenothera sinuosa","Noxious Weed","OESI3","L48(N)"
"1275","Oenothera xerogaura","Oenothera hispida","CA","Oenothera xenogaura","Noxious Weed","OEXE","L48(N)"
"1291","Physalis longifolia","Physalis longifolia","CA","Physalis longifolia","Noxious Weed","PHLO4","L48(N)CAN(N)"
"1293","Physalis viscosa","Physalis viscosa","CA","Physalis viscosa","Noxious Weed","PHVI17","L48(N)"
"1388","Solanum dimidiatum","Solanum dimidiatum","CA","Solanum dimidiatum","Noxious Weed","SODI","L48(N)"
