"","Name_submitted","Accepted_name","Group","Order","Family","Genus","Orignal_Name","Seed_Dispersal_Category","Seed_Dispersal_Orignal_Discription","Seed_Dispersal_Data_Source"
"1","Illicium floridanum","Illicium floridanum","ANA","Austrobaileyales","Schisandraceae","Illicium","Illicium floridanum","Zoochory","animal","Cold Tolerance, Seed Size and Height of North American Forest Tree Species"
"2","Illicium jiadifengpi","Illicium jiadifengpi","ANA","Austrobaileyales","Schisandraceae","Illicium","Illicium jiadifengpi","Autochory","Autochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"3","Illicium lanceolatum","Illicium lanceolatum","ANA","Austrobaileyales","Schisandraceae","Illicium","Illicium lanceolatum","Autochory","Autochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"4","Illicium macranthum","Illicium macranthum","ANA","Austrobaileyales","Schisandraceae","Illicium","Illicium macranthum","Autochory","Autochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"5","Illicium parviflorum","Illicium parviflorum","ANA","Austrobaileyales","Schisandraceae","Illicium","Illicium parviflorum","Zoochory","animal","Cold Tolerance, Seed Size and Height of North American Forest Tree Species"
"6","Illicium simonsii","Illicium simonsii","ANA","Austrobaileyales","Schisandraceae","Illicium","Illicium simonsii","Autochory","Autochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"7","Kadsura coccinea","Kadsura coccinea","ANA","Austrobaileyales","Schisandraceae","Kadsura","Kadsura coccinea","Autochory","Autochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"8","Kadsura longepedunculata","Kadsura longepedunculata","ANA","Austrobaileyales","Schisandraceae","Kadsura","Kadsura longipedunculata","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"9","Schisandra chinensis","Schisandra chinensis","ANA","Austrobaileyales","Schisandraceae","Schisandra","Schisandra chinensis","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"10","Schisandra henryi","Schisandra henryi","ANA","Austrobaileyales","Schisandraceae","Schisandra","Schisandra henryi","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"11","Schisandra sphenanthera","Schisandra sphenanthera","ANA","Austrobaileyales","Schisandraceae","Schisandra","Schisandra sphenanthera","Zoochory","Endo","Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau"
