"","Name_submitted","Accepted_name","Accepted.Symbol","Synonym.Symbol","Symbol","PLANTS.Floristic.Area","State.and.Province","Category","Family","Duration","Growth.Habit","Native.Status","Characteristics.Data","Active.Growth.Period","After.Harvest.Regrowth.Rate","Bloat","C.N.Ratio","Coppice.Potential","Fall.Conspicuous","Fire.Resistance","Flower.Color","Flower.Conspicuous","Foliage.Color","Foliage.Porosity.Summer","Foliage.Porosity.Winter","Foliage.Texture","Fruit.Color","Fruit.Conspicuous","Growth.Form","Growth.Rate","Height.at.Base.Age..Maximum..feet.","Height..Mature..feet.","Known.Allelopath","Leaf.Retention","Lifespan","Low.Growing.Grass","Nitrogen.Fixation","Resprout.Ability","Shape.and.Orientation","Toxicity","Adapted.to.Coarse.Textured.Soils","Adapted.to.Medium.Textured.Soils","Adapted.to.Fine.Textured.Soils","Anaerobic.Tolerance","CaCO.SUB.3..SUB..Tolerance","Cold.Stratification.Required","Drought.Tolerance","Fertility.Requirement","Fire.Tolerance","Frost.Free.Days..Minimum","Hedge.Tolerance","Moisture.Use","pH..Minimum.","pH..Maximum.","Planting.Density.per.Acre..Minimum","Planting.Density.per.Acre..Maximum","Precipitation..Minimum.","Precipitation..Maximum.","Root.Depth..Minimum..inches.","Salinity.Tolerance","Shade.Tolerance","Temperature..Minimum..F.","Bloom.Period","Commercial.Availability","Fruit.Seed.Abundance","Fruit.Seed.Period.Begin","Fruit.Seed.Period.End","Fruit.Seed.Persistence","Propogated.by.Bare.Root","Propogated.by.Bulbs","Propogated.by.Container","Propogated.by.Corms","Propogated.by.Cuttings","Propogated.by.Seed","Propogated.by.Sod","Propogated.by.Sprigs","Propogated.by.Tubers","Seeds.per.Pound","Seed.Spread.Rate","Seedling.Vigor","Small.Grain","Vegetative.Spread.Rate","Berry.Nut.Seed.Product","Christmas.Tree.Product","Fodder.Product","Fuelwood.Product","Lumber.Product","Naval.Store.Product","Nursery.Stock.Product","Palatable.Browse.Animal","Palatable.Graze.Animal","Palatable.Human","Post.Product","Protein.Potential","Pulpwood.Product","Veneer.Product"
"1","Abelia x grandiflora","Abelia x grandiflora","ABGR4",NA,"ABGR4","NA (L48)","USA(FL, NC)","Dicot","Caprifoliaceae","Perennial","Shrub","L48(I)","Yes","Spring, Summer, Fall",NA,"None","High","No","Yes","No","Purple","Yes","Dark Green","Dense","Moderate","Medium","Brown","No","Multiple Stem","Rapid",4,4,"No","Yes","Long","No","None","Yes","Semi-Erect","None","Yes","Yes","No","None","None","No","Low","Medium","Medium",145,"Medium","Medium",5.5,6.8,1200,2700,35,60,12,"Low","Tolerant",-8,"Late Summer","Routinely Available","None","Fall","Fall","No","Yes","No","Yes","No","Yes","No","No","No","No",NA,"None",NA,"No","None","No","No","No",NA,"No","No","Yes",NA,NA,"No","No",NA,"No","No"
"2","Abies amabilis","Abies amabilis","ABAM",NA,"ABAM","NA (L48, AK, CAN)","CAN(BC), USA(AK, CA, OR, WA)","Gymnosperm","Pinaceae","Perennial","Tree","L48(N)AK(N)CAN(N)","Yes","Spring and Summer",NA,"None","High","No","Yes","No","Yellow","No","Gray-Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow",20,165,"No","Yes","Long","No","None","No","Erect","None","Yes","Yes","Yes","None","Low","Yes","Low","Low","None",90,"None","Medium",3.3,6,300,700,38,260,36,"None","Tolerant",-28,"Late Spring","Routinely Available","Low","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",11280,"Slow","Low","No","None","No","Yes","No","Low","Yes","No","No","Low",NA,"No","No",NA,"Yes","Yes"
"3","Abies balsamea","Abies balsamea","ABBA",NA,"ABBA","NA (L48, CAN, SPM)","CAN(AB, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(CT, IA, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV)","Gymnosperm","Pinaceae","Perennial","Tree","L48(N)CAN(N)SPM(N)","Yes","Spring and Summer",NA,"None","High","No","No","No","Yellow","No","Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow",18,60,"No","Yes","Short","No","None","No","Conical","None","Yes","Yes","Yes","None","Low","Yes","Low","Medium","Low",80,"Low","Medium",4,6,300,1200,13,60,20,"None","Tolerant",-43,"Mid Summer","Routinely Available","Medium","Fall","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",59840,"Slow","Low","No","None","No","Yes","No","Low","Yes","Yes","Yes","Medium",NA,"No","No","Low","Yes","Yes"
"4","Abies concolor","Abies concolor","ABCO",NA,"ABCO","NA (L48)","USA(AZ, CO, ID, MA, ME, NM, NV, OR, UT, WY)","Gymnosperm","Pinaceae","Perennial","Tree","L48(N)","Yes","Spring and Summer",NA,"None","High","No","No","No","Red","No","Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow",20,120,"No","Yes","Long","No","None","No","Conical","None","Yes","Yes","No","None","Low","Yes","Medium","Medium","Medium",80,"Low","Medium",5.5,7.8,300,1200,18,80,40,"None","Intermediate",-38,"Late Spring","Routinely Available","Medium","Summer","Fall","No","Yes","No","Yes","No","Yes","Yes","No","No","No",15920,"Moderate","Medium","No","None","No","Yes","No","Low","Yes","No","Yes","Low",NA,"No","No","Low","Yes","Yes"
"5","Abies fraseri","Abies fraseri","ABFR",NA,"ABFR","NA (L48)","USA(GA, NC, TN, VA)","Gymnosperm","Pinaceae","Perennial","Tree","L48(N)","Yes","Spring and Summer",NA,"None","High","No","No","No","Purple","No","Dark Green","Moderate","Moderate","Medium","Brown","Yes","Single Stem","Moderate",20,55,"No","Yes","Moderate","No","None","Yes","Erect","None","Yes","Yes","No","Low","Low","No","Low","Low","Low",90,"Low","Medium",3.5,5.5,435,1200,45,100,6,"Low","Tolerant",-23,"Mid Spring","Routinely Available","Medium","Spring","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No",60800,"Slow","Medium","No","None","No","Yes","No","Low","No","No","Yes","Low",NA,"No","No","Low","Yes","Yes"
"6","Abies grandis","Abies grandis","ABGR",NA,"ABGR","NA (L48, CAN)","CAN(BC), USA(CA, ID, MT, OR, WA)","Gymnosperm","Pinaceae","Perennial","Tree","L48(N)CAN(N)","Yes","Spring and Summer",NA,"None","High","No","No","Yes",NA,"No","Green","Dense","Dense","Medium","Brown","No","Single Stem","Moderate",25,150,"No","Yes","Long","No","None","No","Conical","None","Yes","Yes","No","Low","Low","Yes","Medium","Medium","High",60,"Low","Medium",4.5,7.5,300,1200,11,100,20,"None","Tolerant",-33,"Late Spring","Field Collections Only","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",23200,"Slow","Low","No","None","No","Yes","No","Low","Yes","No","Yes","Low",NA,"No","No","Low","Yes","Yes"
"7","Abies lasiocarpa","Abies lasiocarpa","ABLA",NA,"ABLA","NA (L48, AK, CAN)","CAN(AB, BC, NT, YT), USA(AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)","Gymnosperm","Pinaceae","Perennial","Tree","L48(N)AK(N)CAN(N)","Yes","Spring and Summer",NA,"None","High","No","No","No",NA,"No","Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow",15,90,"No","Yes","Long","No","None","No","Conical","None","Yes","Yes","No","None","Low","Yes","Low","Medium","Low",120,"Low","Medium",4,6.5,300,1200,20,150,40,"None","Tolerant",-51,"Late Spring","Routinely Available","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",37440,"Slow","Low","No","None","No","Yes","No","Low","Yes","No","Yes","Low",NA,"No","No","Low","Yes","No"
"8","Abies magnifica","Abies magnifica","ABMA",NA,"ABMA","NA (L48)","USA(CA, NV, NY, OR)","Gymnosperm","Pinaceae","Perennial","Tree","L48(N)","Yes","Spring and Summer",NA,"None","High","No","No","Yes","Brown","No","Dark Green","Moderate","Moderate","Medium","Brown","Yes","Single Stem","Slow",35,150,"No","Yes","Long","No","None","No","Erect","None","Yes","Yes","No","None","Low","Yes","Low","Low","Low",90,"Low","Medium",5,6.1,430,1200,33,64,20,"Low","Tolerant",-23,"Late Spring","Contracting Only","High","Summer","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No",5680,"Slow","Medium","No","None","No","Yes","No","Low","Yes","No","Yes","Low","Low","No","No","Low","Yes","Yes"
"9","Abies procera","Abies procera","ABPR",NA,"ABPR","NA (L48)","USA(CA, OR, WA)","Gymnosperm","Pinaceae","Perennial","Tree","L48(N)","Yes","Spring and Summer",NA,"None","High","No","No","No",NA,"No","Dark Green","Dense","Dense","Medium","Purple","Yes","Single Stem","Rapid",25,230,"No","Yes","Long","No","None","No","Erect","None","Yes","Yes","No","None","Low","Yes","Low","Low","Low",50,"Low","Low",6,7.5,430,1200,64,120,20,"None","Intermediate",-23,"Late Spring","Contracting Only","Low","Spring","Fall","Yes","Yes","No","Yes","No","No","Yes","No","No","No",14640,"Slow","Low","No","None","No","Yes","No","Medium","Yes","No","Yes","Low","Low","No","No","Low","Yes","Yes"
"10","Acacia cyclops","Acacia cyclops","ACCY2",NA,"ACCY2","NA (L48)","USA(CA)","Dicot","Fabaceae","Perennial","Shrub","L48(I)","Yes","Spring and Summer",NA,"None","High","Yes","No","No","Yellow","Yes","Dark Green","Dense","Dense","Fine","Black","Yes","Multiple Stem","Rapid",12,12,"No","Yes","Short","No","Medium","Yes","Semi-Erect","None","Yes","Yes","Yes","None","Low","No","High","Low","Medium",180,"High","Medium",6,8.3,700,1200,16,40,18,"Medium","Intolerant",14,"Mid Spring","Field Collections Only","High","Summer","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No",35000,"Slow","Medium","No","None","No","No","No",NA,"No","No","Yes","Low",NA,"No","No","Low","No","No"
