"","plant_id","active_growth_period","bloat","c_n_ratio","coppice_potential","fall_conspicuous","fire_resistant","flower_color","flower_conspicuous","foliage_color","foliage_porosity_summer","foliage_porosity_winter","foliage_texture","fruit_seed_color","fruit_seed_conspicuous","growth_form","growth_rate","height_at_20_years_maximum_feet","height_mature_feet","known_allelopath","leaf_retention","lifespan","low_growing_grass","nitrogen_fixation","resprout_ability","shape_and_orientation","toxicity","adapted_to_coarse_textured_soils","adapted_to_fine_textured_soils","adapted_to_medium_textured_soils","anaerobic_tolerance","caco_3_tolerance","cold_stratification_required","drought_tolerance","fertility_requirement","fire_tolerance","frost_free_days_minimum","hedge_tolerance","moisture_use","ph_maximum","ph_minimum","planting_density_per_acre_maximum","planting_density_per_acre_minimum","precipitation_maximum","precipitation_minimum","root_depth_minimum","salinity_tolerance","shade_tolerance","temperature_minimum_f","bloom_period","commercial_availability","fruit_seed_abundance","fruit_seed_period_begin","fruit_seed_period_end","fruit_seed_persistence","propagated_by_bare_root","propagated_by_bulb","propagated_by_container","propagated_by_corm","propagated_by_cuttings","propagated_by_seed","propagated_by_sod","propagated_by_sprigs","propagated_by_tubers","seed_per_pound","seed_spread_rate","seedling_vigor","small_grain","vegetative_spread_rate","berry_nut_seed_product","christmas_tree_product","fodder_product","fuelwood_product","lumber_product","naval_store_product","nursery_stock_product","palatable_browse_animal","palatable_human","post_product","pulpwood_product","veneer_product","Name_submitted","Accepted_name","symbol"
"1",15308,"Spring and Summer","None","High","No","Yes","No","Yellow","No","Gray-Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow","20","165.0","No","Yes","Long","No","None","No","Erect","None","Yes","Yes","Yes","None","Low","Yes","Low","Low","None","90","None","Medium",6,3.3,"700","300","260","38","36","None","Tolerant","-28","Late Spring","Routinely Available","Low","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","11280","Slow","Low","No","None","No","Yes","No","Low","Yes","No","No","Low","No","No","Yes","Yes","Abies amabilis","Abies amabilis","ABAM"
"2",15309,"Spring and Summer","None","High","No","No","No","Yellow","No","Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow","18","60.0","No","Yes","Short","No","None","No","Conical","None","Yes","Yes","Yes","None","Low","Yes","Low","Medium","Low","80","Low","Medium",6,4,"1200","300","60","13","20","None","Tolerant","-43","Mid Summer","Routinely Available","Medium","Fall","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","59840","Slow","Low","No","None","No","Yes","No","Low","Yes","Yes","Yes","Medium","No","No","Yes","Yes","Abies balsamea","Abies balsamea","ABBA"
"3",15316,"Spring and Summer","None","High","No","No","No","Red","No","Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow","20","120.0","No","Yes","Long","No","None","No","Conical","None","Yes","No","Yes","None","Low","Yes","Medium","Medium","Medium","80","Low","Medium",7.8,5.5,"1200","300","80","18","40","None","Intermediate","-38","Late Spring","Routinely Available","Medium","Summer","Fall","No","Yes","No","Yes","No","Yes","Yes","No","No","No","15920","Moderate","Medium","No","None","No","Yes","No","Low","Yes","No","Yes","Low","No","No","Yes","Yes","Abies concolor","Abies concolor","ABCO"
"4",15319,"Spring and Summer","None","High","No","No","No","Purple","No","Dark Green","Moderate","Moderate","Medium","Brown","Yes","Single Stem","Moderate","20","55.0","No","Yes","Moderate","No","None","Yes","Erect","None","Yes","No","Yes","Low","Low","No","Low","Low","Low","90","Low","Medium",5.5,3.5,"1200","435","100","45","6","Low","Tolerant","-23","Mid Spring","Routinely Available","Medium","Spring","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","60800","Slow","Medium","No","None","No","Yes","No","Low","No","No","Yes","Low","No","No","Yes","Yes","Abies fraseri","Abies fraseri","ABFR"
"5",15321,"Spring and Summer","None","High","No","No","Yes",NA,"No","Green","Dense","Dense","Medium","Brown","No","Single Stem","Moderate","25","150.0","No","Yes","Long","No","None","No","Conical","None","Yes","No","Yes","Low","Low","Yes","Medium","Medium","High","60","Low","Medium",7.5,4.5,"1200","300","100","11","20","None","Tolerant","-33","Late Spring","Field Collections Only","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","23200","Slow","Low","No","None","No","Yes","No","Low","Yes","No","Yes","Low","No","No","Yes","Yes","Abies grandis","Abies grandis","ABGR"
"6",42690,"Spring, Summer, Fall","None","High","No","Yes","No","Purple","Yes","Dark Green","Dense","Moderate","Medium","Brown","No","Multiple Stem","Rapid","6","6.0","No","Yes","Moderate","No","None","Yes","Semi-Erect","None","Yes","No","Yes","None","None","No","Medium","Medium","Medium","150","Medium","Medium",7,5.7,"2700","1200","60","35","12","Low","Tolerant","-8","Late Summer","Routinely Available","None","Summer","Fall","No","Yes","No","Yes","No","Yes","No","No","No","No",NA,"None",NA,"No","None","No","No","No",NA,"No","No","Yes","Low","No","No","No","No","Abelia ×grandiflora",NA,"ABGR4"
"7",15328,"Spring and Summer","None","High","No","No","No",NA,"No","Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow","15","90.0","No","Yes","Long","No","None","No","Conical","None","Yes","No","Yes","None","Low","Yes","Low","Medium","Low","120","Low","Medium",6.5,4,"1200","300","150","20","40","None","Tolerant","-51","Late Spring","Routinely Available","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","37440","Slow","Low","No","None","No","Yes","No","Low","Yes","No","Yes","Low","No","No","Yes","No","Abies lasiocarpa","Abies lasiocarpa","ABLA"
"8",15340,"Spring and Summer","None","High","No","No","Yes","Brown","No","Dark Green","Moderate","Moderate","Medium","Brown","Yes","Single Stem","Slow","35","150.0","No","Yes","Long","No","None","No","Erect","None","Yes","No","Yes","None","Low","Yes","Low","Low","Low","90","Low","Medium",6.1,5,"1200","430","64","33","20","Low","Tolerant","-23","Late Spring","Contracting Only","High","Summer","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","5680","Slow","Medium","No","None","No","Yes","No","Low","Yes","No","Yes","Low","No","No","Yes","Yes","Abies magnifica","Abies magnifica","ABMA"
"9",15342,"Spring and Summer","None","High","No","No","Yes","Brown","No","Dark Green","Moderate","Moderate","Medium","Brown","Yes","Single Stem","Slow","25","180.0","No","Yes","Long","No","None","No","Erect","None","Yes","No","Yes","None","Low","Yes","Low","Low","Low","90","Low","Medium",7.5,6,"1200","430","60","30","20","Low","Intermediate","-23","Mid Spring","Contracting Only","High","Spring","Fall","Yes","Yes","No","Yes","No","No","Yes","No","No","No","5680","Slow","Medium","No","None","No","Yes","No","Low","Yes","No","Yes","Low","No","No","Yes","Yes","Abies magnifica","Abies magnifica","ABMAS"
"10",15346,"Spring and Summer","None","High","No","No","No",NA,"No","Dark Green","Dense","Dense","Medium","Purple","Yes","Single Stem","Rapid","25","230.0","No","Yes","Long","No","None","No","Erect","None","Yes","No","Yes","None","Low","Yes","Low","Low","Low","50","Low","Low",7.5,6,"1200","430","120","64","20","None","Intermediate","-23","Late Spring","Contracting Only","Low","Spring","Fall","Yes","Yes","No","Yes","No","No","Yes","No","No","No","14640","Slow","Low","No","None","No","Yes","No","Medium","Yes","No","Yes","Low","No","No","Yes","Yes","Abies procera","Abies procera","ABPR"
"11",16268,"Spring and Summer","None",NA,"No","No","Yes","Yellow","No","Green","Dense","Moderate","Medium","Green","No","Rhizomatous","Moderate",NA,"3.9","No","No","Moderate","No","None","No","Erect","None","No","Yes","Yes","High","Low","No","None","Medium","None","120","None","High",7.2,5.6,"4800","3450","65","16","10","None","Intolerant","-38","Late Spring","Routinely Available","Medium","Summer","Fall","No","No","No","No","No","No","No","No","Yes","No",NA,"Slow","High","No","Moderate","No","No","No",NA,"No","No","No",NA,"No","No","No","No","Acorus americanus","Acorus calamus var. americanus","ACAM"
"12",16271,"Spring and Summer","None","High","No","No","No","Yellow","No","Green","Dense","Porous","Coarse","Brown","No","Rhizomatous","Moderate",NA,"5.0","No","No","Moderate","No","None","No","Semi-Erect","None","Yes","No","Yes","High","Medium","No","None","Medium","High","90","None","High",7.2,5.2,"4850","2700","60","32","12","Low","Intolerant","-38","Late Spring","Routinely Available","Low","Summer","Summer","No","Yes","No","Yes","No","No","No","No","Yes","No","498454","None","Low","No","Moderate","No","No","No",NA,"No","No","Yes","Low","No","No","No","No","Acorus calamus","Acorus calamus","ACCA4"
"13",92756,"Spring and Summer","None","High","No","Yes","No","Green","Yes","Green","Moderate","Porous","Medium","Brown","No","Single Stem","Moderate","15","20.0","No","No","Long","No","None","Yes","Erect","None","Yes","Yes","Yes","None","None","Yes","Low","Medium","Medium","200","None","Medium",7.5,5.5,"1100","700","80","24","24","None","Tolerant","-13","Spring","No Known Source","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","4620","Slow","Medium","No","None","No","No","No","High","No","Yes","No","Medium","No","No","No","No","Acer circinatum","Acer circinatum","ACCI"
"14",72438,"Spring and Summer","None","Medium","No","No","No","Blue","Yes","Green","Moderate","Porous","Medium","Black","No","Single Crown","Moderate",NA,"5.0","No","No","Moderate","No","None","No","Erect","Moderate","Yes","Yes","Yes","Medium","Medium","No","Low","Medium","Medium","110","None","High",7.2,5.4,"1200","700","50","12","10","None","Intermediate","-28","Early Summer","Routinely Available","Medium","Summer","Summer","No","No","No","Yes","No","No","Yes","No","No","No",NA,"Moderate","Medium","No","None","No","No","No",NA,"No","No","Yes","Low","No","No","No","No","Aconitum columbianum","Aconitum columbianum","ACCO4"
"15",76633,"Spring and Summer","None","High","Yes","No","No","Yellow","Yes","Dark Green","Dense","Dense","Fine","Black","Yes","Multiple Stem","Rapid","12","12.0","No","Yes","Short","No","Medium","Yes","Semi-Erect","None","Yes","Yes","Yes","None","Low","No","High","Low","Medium","180","High","Medium",8.3,6,"1200","700","40","16","18","Medium","Intolerant","14","Mid Spring","Field Collections Only","High","Summer","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","35000","Slow","Medium","No","None","No","No","No",NA,"No","No","Yes","Low","No","No","No","No","Acacia cyclops","Acacia cyclops","ACCY2"
"16",92759,"Spring and Summer","None","High","No","Yes","No","Yellow","No","Green","Dense","Porous","Medium","Red","Yes","Single Stem","Moderate","30","50.0","No","No","Moderate","No","None","No","Erect","None","Yes","No","Yes","None","Medium","No","Low","Medium","None","200","None","Medium",6.5,5,"700","300","65","40","24","None","Tolerant","-18","Mid Spring","No Known Source","High","Spring","Summer","No","Yes","No","Yes","No","Yes","Yes","No","No","No","7000","Slow","Medium","No","None","No","No","No",NA,"Yes","No","Yes","Low","Yes","No","Yes","Yes","Acer floridanum","Acer saccharum subsp. floridanum","ACFL"
"17",92772,"Spring and Summer","None","High","No","Yes","No","White","No","Green","Dense","Moderate","Medium","Brown","Yes","Multiple Stem","Rapid","15","20.0","No","No","Moderate","No","None","Yes","Rounded","None","Yes","No","Yes","None","Medium","Yes","Low","Medium","High","130","Medium","Medium",7.5,6.1,"700","170","60","30","24","Medium","Intermediate","-38","Mid Spring","Routinely Available","High","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","15200","Slow","Low","No","None","No","No","No","Medium","No","No","Yes","Low","No","No","No","No","Acer ginnala","Acer tataricum subsp. ginnala","ACGI"
"18",92774,"Spring and Summer","None","High","No","Yes","No","Green","No","Green","Dense","Porous","Coarse","Brown","No","Multiple Stem","Rapid","15","30.0","No","No","Moderate","No","None","Yes","Erect","None","Yes","No","Yes","Low","Medium","Yes","Medium","Medium","High","180","Medium","Low",7.5,5.8,"1200","300","60","9","24","None","Intermediate","-43","Late Spring","Routinely Available","High","Summer","Fall","No","Yes","No","Yes","No","Yes","Yes","No","No","No","13663","Slow","Low","No","Moderate","No","No","No","Medium","No","No","Yes","Medium","No","No","No","No","Acer glabrum","Acer glabrum","ACGL"
"19",92778,"Spring and Summer","None","High","No","Yes","No","Green","No","Green","Moderate","Porous","Coarse","Brown","No","Single Stem","Moderate","20","30.0","No","No","Moderate","No","None","Yes","Erect","None","Yes","No","Yes","None","Low","Yes","Low","Medium","Low","120","None","Medium",7.5,5.5,"2700","700","50","16","24","None","Tolerant","-13","Late Spring","Contracting Only","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","16000","Slow","Medium","No","None","No","No","No","Low","No","No","Yes","Medium","No","No","No","No","Acer glabrum","Acer glabrum","ACGLD4"
"20",92794,"Spring and Summer","None","High","No","No","No","Yellow","Yes","Green","Moderate","Porous","Medium","Brown","No","Single Stem","Moderate","20","38.0","No","No","Short","No","None","Yes","Erect","None","Yes","Yes","Yes","Low","None","Yes","Low","Medium","Medium","100","None","Medium",8,6,"1100","700","30","16","24","None","Intermediate","-31","Spring","Routinely Available","Medium","Summer","Summer","No","Yes","No","Yes","No","No","Yes","No","No","No","6350","Slow","Low","No","None","No","No","No","High","No","No","No","Low","No","Yes","No","No","Acer grandidentatum","Acer grandidentatum","ACGR3"
