"","Name_submitted","Accepted_name","Accepted.Symbol","Range_Size","Precip","pH","Status"
"1","Arenaria livermorensis","Arenaria livermorensis","ARLI3",5865172230,374.0999756,2.180000305,"native"
"2","Croton suaveolens","Croton suaveolens","CRSU7",5865172230,374.0999756,2.180000305,"native"
"3","Lupinus congdonii","Lupinus congdonii","LUCO3",2480587324,1517.459961,2.170000076,"native"
"4","Oenothera texensis","Oenothera texensis","OETE3",5865172230,374.0999756,2.180000305,"native"
"5","Osmorhiza mexicana","Osmorhiza mexicana","OSME3",5865172230,374.0999756,2.180000305,"native"
"6","Philadelphus crinitus","Philadelphus microphyllus var. microphyllus","PHCR3",5865172230,374.0999756,2.180000305,"native"
"7","Pleopeltis polylepis","Pleopeltis polylepis","PLPO",5865172230,374.0999756,2.180000305,"native"
"8","Potamogeton clystocarpus","Potamogeton berchtoldii subsp. clystocarpus","POCL",5865172230,374.0999756,2.180000305,"native"
"9","Psilactis tenuis","Psilactis tenuis","PSTE6",5865172230,374.0999756,2.180000305,"native"
"10","Quercus depressipes","Quercus depressipes","QUDE3",5865172230,374.0999756,2.180000305,"native"
"11","Sidalcea stipularis","Sidalcea stipularis","SIST3",2480587324,1517.459961,2.170000076,"native"
"12","Viburnum australe","Viburnum australe","VIAU",5865172230,374.0999756,2.180000305,"native"
"13","Penstemon parviflorus","Penstemon auriberbis","PEPA25",14117193197,510.4100037,3.179999828,"native"
"14","Helianthus praetermissus",NA,"HEPR5",11758505178,663.8399963,3.71999979,"native"
"15","Ageratum littorale","Ageratum littorale","AGLI3",2546027976,494.4000244,1.480000019,"native"
"16","Aristida floridana","Aristida floridana","ARFL",2546027976,494.4000244,1.480000019,"native"
"17","Caesalpinia pauciflora","Denisophytum pauciflorum","CAPA34",2546027976,494.4000244,1.480000019,"native"
"18","Chromolaena frustrata","Chromolaena frustrata","CHFR4",2546027976,494.4000244,1.480000019,"native"
"19","Cienfuegosia yucatanensis","Cienfuegosia yucatanensis","CIYU",2546027976,494.4000244,1.480000019,"native"
"20","Consolea corallicola","Consolea macracantha","COCO14",2546027976,494.4000244,1.480000019,"native"
"21","Cupania glabra","Cupania glabra","CUGL",2546027976,494.4000244,1.480000019,"native"
"22","Indigofera oxycarpa","Indigastrum parviflorum subsp. parviflorum","INOX",2546027976,494.4000244,1.480000019,"native"
