Accepted Symbol,Scientific Name,Air_Results,ports_Results,ghmi_Results,soc_Results,awc_Results,PropFP,TornArea,FRG,StormArea,Ag,Urb,SpeciesArea,Range_Size,Temp,Precip,pH,sand,silt,clay,Growth Habit,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,GH_Subshrub,GH_Graminoid,GH_Shrub,GH_Vine,GH_Forb,GH_Tree,FR - I,FR - II,FR - III,FR - IV,FR - V,85
ARLI3,Arenaria livermorensis,62.08551407,717.3443604,0.064941078,2.601007938,6.942558765,0.066776464,1.88e-9,2,5.11e-10,0,0.004564119,1.8e-7,5865172230,22.28000069,374.0999756,2.180000305,34.69999981,18.5,32.5999999,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CRSU7,Croton suaveolens,62.08551407,717.3443604,0.064941078,2.601007938,6.942558765,0.066776464,1.88e-9,2,5.11e-10,0,0.004564119,1.8e-7,5865172230,22.28000069,374.0999756,2.180000305,34.69999981,18.5,32.5999999,Shrub,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
LUCO3,Lupinus congdonii,67.74542236,93.23257446,0.209064677,5.204519749,8.866258621,0.018470493,0,1,0,0,0.051266337,5.72e-7,2480587324,25.76000094,1517.459961,2.170000076,56.60000324,23.5,21.5999999,Forb/herb,native,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
OETE3,Oenothera texensis,62.08551407,717.3443604,0.064941078,2.601007938,6.942558765,0.066776464,1.88e-9,2,5.11e-10,0,0.004564119,1.8e-7,5865172230,22.28000069,374.0999756,2.180000305,34.69999981,18.5,32.5999999,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
OSME3,Osmorhiza mexicana,62.08551407,717.3443604,0.064941078,2.601007938,6.942558765,0.066776464,1.88e-9,2,5.11e-10,0,0.004564119,1.8e-7,5865172230,22.28000069,374.0999756,2.180000305,34.69999981,18.5,32.5999999,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
PHCR3,Philadelphus crinitus,62.08551407,717.3443604,0.064941078,2.601007938,6.942558765,0.066776464,1.88e-9,2,5.11e-10,0,0.004564119,1.8e-7,5865172230,22.28000069,374.0999756,2.180000305,34.69999981,18.5,32.5999999,Shrub,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
PLPO,Pleopeltis polylepis,62.08551407,717.3443604,0.064941078,2.601007938,6.942558765,0.066776464,1.88e-9,2,5.11e-10,0,0.004564119,1.8e-7,5865172230,22.28000069,374.0999756,2.180000305,34.69999981,18.5,32.5999999,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
POCL,Potamogeton clystocarpus,62.08551407,717.3443604,0.064941078,2.601007938,6.942558765,0.066776464,1.88e-9,2,5.11e-10,0,0.004564119,1.8e-7,5865172230,22.28000069,374.0999756,2.180000305,34.69999981,18.5,32.5999999,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
PSTE6,Psilactis tenuis,62.08551407,717.3443604,0.064941078,2.601007938,6.942558765,0.066776464,1.88e-9,2,5.11e-10,0,0.004564119,1.8e-7,5865172230,22.28000069,374.0999756,2.180000305,34.69999981,18.5,32.5999999,Forb/herb,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
QUDE3,Quercus depressipes,62.08551407,717.3443604,0.064941078,2.601007938,6.942558765,0.066776464,1.88e-9,2,5.11e-10,0,0.004564119,1.8e-7,5865172230,22.28000069,374.0999756,2.180000305,34.69999981,18.5,32.5999999,Shrub,native,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
